id,target,dilution,Ct_Mean,delta_Ct
SCr-164,trout,1:1,32.21051025,-0.1423187299999995
SCr-164,trout,1:5,32.35282898,
SCr-165,coho,1:1,36.56371689,0.11489487000000054
SCr-165,coho,1:5,36.44882202,
SCr-165,trout,1:1,31.43861389,-1.0306205800000043
SCr-165,trout,1:5,32.46923447,
SCr-166,coho,1:1,36.43987274,-0.6457786600000048
SCr-166,coho,1:5,37.0856514,
SCr-166,trout,1:1,31.56682777,-1.6184787800000002
SCr-166,trout,1:5,33.18530655,
SCr-167,coho,1:1,34.90040207,-2.092670439999999
SCr-167,coho,1:5,36.99307251,
SCr-167,trout,1:1,30.28150368,-1.8625049600000025
SCr-167,trout,1:5,32.14400864,
SCr-168,coho,1:1,37.04098892,-1.1086082500000032
SCr-168,coho,1:5,38.14959717,
SCr-168,trout,1:1,31.54166222,-1.6571140300000025
SCr-168,trout,1:5,33.19877625,
SCr-169,coho,1:1,,
SCr-169,coho,1:5,,
SCr-169,trout,1:1,39.30633545,5.020153050000005
SCr-169,trout,1:5,34.286182399999994,
SCr-17,coho,1:1,,
SCr-17,coho,1:5,,
SCr-17,trout,1:1,38.35808563,
SCr-17,trout,1:5,,
SCr-170,coho,1:1,,
SCr-170,coho,1:5,,
SCr-170,trout,1:1,35.82250977,0.9758606000000043
SCr-170,trout,1:5,34.84664917,
SCr-171,coho,1:1,39.91506195,0.8971595800000003
SCr-171,coho,1:5,39.01790237,
SCr-171,trout,1:1,38.63737869,4.467609400000001
SCr-171,trout,1:5,34.16976929,
SCr-172,coho,1:1,38.36992264,-1.0724067700000006
SCr-172,coho,1:5,39.44232941,
SCr-172,trout,1:1,32.31879807,-1.539894099999998
SCr-172,trout,1:5,33.85869217,
SCr-173,coho,1:1,36.68077469,-0.5413742100000007
SCr-173,coho,1:5,37.2221489,
SCr-173,trout,1:1,31.77727509,-1.8458213800000003
SCr-173,trout,1:5,33.62309647,
SCr-174,coho,1:1,,
SCr-174,coho,1:5,37.64221954,
SCr-174,trout,1:1,31.10996437,-1.3654994999999985
SCr-174,trout,1:5,32.47546387,
SCr-175,coho,1:1,38.14171982,-0.21451950000000153
SCr-175,coho,1:5,38.35623932,
SCr-175,trout,1:1,32.39993668,-2.195320129999999
SCr-175,trout,1:5,34.59525681,
SCr-176,coho,1:1,36.22441101,-2.3048744200000044
SCr-176,coho,1:5,38.52928543,
SCr-176,trout,1:1,31.34461975,
SCr-177,coho,1:1,37.04427719,-1.3206138599999946
SCr-177,coho,1:5,38.36489105,
SCr-177,trout,1:1,31.44319153,-1.7220611600000026
SCr-177,trout,1:5,33.16525269,
SCr-178,coho,1:1,36.95762253,-2.3544464100000013
SCr-178,coho,1:5,39.31206894,
SCr-178,trout,1:1,32.55376053,-2.2008132899999993
SCr-178,trout,1:5,34.75457382,
SCr-179,coho,1:1,36.53450012,-1.5429229800000002
SCr-179,coho,1:5,38.0774231,
SCr-179,trout,1:1,31.32763481,-2.385442740000002
SCr-179,trout,1:5,33.71307755,
SCr-18,coho,1:1,,
SCr-18,coho,1:5,,
SCr-18,trout,1:1,34.62540817,-2.7451057500000005
SCr-18,trout,1:5,37.37051392,
SCr-180,coho,1:1,35.54218674,-2.7394866899999997
SCr-180,coho,1:5,38.28167343,
SCr-180,trout,1:1,30.43012238,-3.0259628299999974
SCr-180,trout,1:5,33.45608521,
SCr-181,coho,1:1,,
SCr-181,coho,1:5,38.54431915,
SCr-181,trout,1:1,,
SCr-181,trout,1:5,,
SCr-1814,trout,1:5,31.97311401,
SCr-182,coho,1:1,36.90404129,-0.7413978599999993
SCr-182,coho,1:5,37.64543915,
SCr-182,trout,1:1,31.3335247,-1.6994152100000015
SCr-182,trout,1:5,33.03293991,
SCr-183,coho,1:1,34.61275101,-2.4350395200000037
SCr-183,coho,1:5,37.04779053,
SCr-183,trout,1:1,30.42326355,-2.1948432900000014
SCr-183,trout,1:5,32.61810684,
SCr-184,coho,1:1,34.43832779,-1.7339401199999998
SCr-184,coho,1:5,36.17226791,
SCr-184,trout,1:1,30.45060539,
SCr-185,coho,1:1,36.11027527,-1.8818893400000007
SCr-185,coho,1:5,37.99216461,
SCr-185,trout,1:1,30.42382622,-3.80916023
SCr-185,trout,1:5,34.23298645,
SCr-186,coho,1:1,37.70978546,-0.03208542000000136
SCr-186,coho,1:5,37.74187088,
SCr-186,trout,1:1,30.81054688,-2.1786231899999997
SCr-186,trout,1:5,32.98917007,
SCr-187,coho,1:1,34.89393616,-0.7820320099999947
SCr-187,coho,1:5,35.67596817,
SCr-187,trout,1:1,30.00908852,-2.3201618200000027
SCr-187,trout,1:5,32.32925034,
SCr-188,coho,1:1,35.2130394,-1.3907394399999973
SCr-188,coho,1:5,36.60377884,
SCr-188,trout,1:1,30.87057304,-1.821626669999997
SCr-188,trout,1:5,32.69219971,
SCr-189,coho,1:1,35.04373169,-0.9919700599999999
SCr-189,coho,1:5,36.03570175,
SCr-189,trout,1:1,30.24469566,-2.0793438
SCr-189,trout,1:5,32.32403946,
SCr-19,coho,1:1,,
SCr-19,coho,1:5,37.95328903198242,
SCr-19,trout,1:1,33.97138214111328,0.08101272583008523
SCr-19,trout,1:5,33.890369415283196,
SCr-190,coho,1:1,35.41096115,-1.0680923500000006
SCr-190,coho,1:5,36.4790535,
SCr-190,trout,1:1,30.12872887,-2.618940349999999
SCr-190,trout,1:5,32.74766922,
SCr-190506,coho,1:1,34.98417282104492,-2.539173126220703
SCr-190506,coho,1:5,37.523345947265625,
SCr-190506,trout,1:1,31.080495834350586,-1.9568767547607422
SCr-190506,trout,1:5,33.03737258911133,
SCr-190506A,coho,1:1,34.09614944458008,
SCr-190506A,trout,1:1,29.62287330627441,
SCr-190506B,coho,1:1,34.30617904663086,-1.8811492919921875
SCr-190506B,coho,1:5,36.18732833862305,
SCr-190506B,trout,1:1,29.95206642150879,-1.9685478210449219
SCr-190506B,trout,1:5,31.92061424255371,
SCr-191,coho,1:1,35.32273865,-2.0236663800000017
SCr-191,coho,1:5,37.34640503,
SCr-191,trout,1:1,30.71581459,-2.2532672899999966
SCr-191,trout,1:5,32.96908188,
SCr-192,coho,1:1,35.546772,-1.9680976900000005
SCr-192,coho,1:5,37.51486969,
SCr-192,trout,1:1,30.36260986,-2.410732270000004
SCr-192,trout,1:5,32.77334213,
SCr-193,coho,1:1,35.69988632,-1.53057862
SCr-193,coho,1:5,37.23046494,
SCr-193,trout,1:1,30.90639496,-2.492946619999998
SCr-193,trout,1:5,33.39934158,
SCr-194,coho,1:1,35.20497131,-0.836441040000004
SCr-194,coho,1:5,36.04141235,
SCr-194,trout,1:1,30.38490295,-2.0123939600000007
SCr-194,trout,1:5,32.39729691,
SCr-195,coho,1:1,33.9969635,-1.3855705300000025
SCr-195,coho,1:5,35.38253403,
SCr-195,trout,1:1,30.35623741,-1.7343654599999994
SCr-195,trout,1:5,32.09060287,
SCr-196,coho,1:1,35.28009415,-2.1011505100000036
SCr-196,coho,1:5,37.38124466,
SCr-196,trout,1:1,29.4086895,-2.220163339999999
SCr-196,trout,1:5,31.62885284,
SCr-197,coho,1:1,36.4919281,-0.9110259999999997
SCr-197,coho,1:5,37.4029541,
SCr-197,trout,1:1,30.91869164,-1.7907009099999982
SCr-197,trout,1:5,32.70939255,
SCr-198,coho,1:1,37.11000443,-1.7574081400000026
SCr-198,coho,1:5,38.86741257,
SCr-198,trout,1:1,31.5894928,-1.7585983300000017
SCr-198,trout,1:5,33.34809113,
SCr-199,coho,1:1,34.35446548,-3.002716069999998
SCr-199,coho,1:5,37.35718155,
SCr-199,trout,1:1,30.19750404,-2.2038593300000002
SCr-199,trout,1:5,32.40136337,
SCr-2,coho,1:1,,
SCr-2,coho,1:5,,
SCr-2,trout,1:1,,
SCr-2,trout,1:5,,
SCr-20,coho,1:1,36.21725845,
SCr-20,coho,1:5,,
SCr-20,trout,1:1,34.49927902,-2.2295761099999964
SCr-20,trout,1:5,36.72885513,
SCr-200,coho,1:1,35.47941971,-2.435771939999995
SCr-200,coho,1:5,37.91519165,
SCr-200,trout,1:1,31.22797966,-2.4970569599999983
SCr-200,trout,1:5,33.72503662,
SCr-201,coho,1:1,39.9536972,1.8468665999999985
SCr-201,coho,1:5,38.1068306,
SCr-201,trout,1:1,32.07178879,-0.729667660000004
SCr-201,trout,1:5,32.80145645,
SCr-202,coho,1:1,34.74194336,-1.7829437199999987
SCr-202,coho,1:5,36.52488708,
SCr-202,trout,1:1,30.05769348,-1.972644810000002
SCr-202,trout,1:5,32.03033829,
SCr-203,coho,1:1,36.03783035,-2.3771743799999996
SCr-203,coho,1:5,38.41500473,
SCr-203,trout,1:1,30.44313812,-1.7577858000000006
SCr-203,trout,1:5,32.20092392,
SCr-204,coho,1:1,38.86891174,2.0215911800000015
SCr-204,coho,1:5,36.84732056,
SCr-204,trout,1:1,30.59333801,-1.0653896399999994
SCr-204,trout,1:5,31.65872765,
SCr-205,coho,1:1,36.88502502,-0.4522094800000005
SCr-205,coho,1:5,37.3372345,
SCr-205,trout,1:1,30.3892765,-1.3350219800000005
SCr-205,trout,1:5,31.72429848,
SCr-206,coho,1:1,39.02692032,2.01015091
SCr-206,coho,1:5,37.01676941,
SCr-206,trout,1:1,31.08777618,-0.2381267600000001
SCr-206,trout,1:5,31.32590294,
SCr-207,coho,1:1,35.29850388,-0.9267311099999986
SCr-207,coho,1:5,36.22523499,
SCr-207,trout,1:1,29.34524345,-1.85041047
SCr-207,trout,1:5,31.19565392,
SCr-208,coho,1:1,39.36516953,1.8688621600000062
SCr-208,coho,1:5,37.49630737,
SCr-208,trout,1:1,30.53269196,-1.0719223000000007
SCr-208,trout,1:5,31.60461426,
SCr-209,coho,1:1,34.99033737,-1.612159730000002
SCr-209,coho,1:5,36.6024971,
SCr-209,trout,1:1,29.75343513,-2.164167410000001
SCr-209,trout,1:5,31.91760254,
SCr-21,coho,1:1,38.8784523,
SCr-21,coho,1:5,,
SCr-21,trout,1:1,35.37452316,-0.9356880200000006
SCr-21,trout,1:5,36.31021118,
SCr-210,coho,1:1,34.08562088,-2.885879519999996
SCr-210,coho,1:5,36.9715004,
SCr-210,trout,1:1,29.09382629,-2.291252140000001
