id,target,dilution,conc,conc_sd,detected,BLOD,BLOQ,n_replicates,n_amplified,n_BLOD,n_BLOQ,Ct_Mean,Ct_sd,delta_Ct,inhibition,source_file,sample_type,sample_mid,sample_wake,sample_start,sample_end,sample_duration,vol_target,vol_actual,vol_diff,lab_field,ESP,log_file,sample_rate,date,hour,morn_midday_eve,deployment
SCr-264,trout,1:5,0.0,0.0,1,1,1,3,1,3,3,37.76004028,,1.6520156899999991,1.0,20201124_Scott_Creek_Omykiss_Chloe_P1_data.csv,Control,2019-06-27 05:04:43,2019-06-27 05:04:43,,,,1000.0,1000.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,,2019-06-27,5.0,0.0,6.0
SCr-264,trout,1:1,0.0,0.0,1,1,1,3,2,3,3,39.41205597,0.693088412,1.6520156899999991,1.0,20201124_Scott_Creek_Omykiss_Chloe_P1_data.csv,Control,2019-06-27 05:04:43,2019-06-27 05:04:43,,,,1000.0,1000.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,,2019-06-27,5.0,0.0,6.0
SCr-133,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Control,2019-05-02 15:01:44,2019-05-02 14:51:23,2019-05-02 14:56:52,2019-05-02 15:06:36,9.72,500.0,500.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,51.440329218107,2019-05-02,15.0,1.0,2.0
SCr-133,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Control,2019-05-02 15:01:44,2019-05-02 14:51:23,2019-05-02 14:56:52,2019-05-02 15:06:36,9.72,500.0,500.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,51.440329218107,2019-05-02,15.0,1.0,2.0
SCr-266,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Control ,2019-06-25 15:28:02,2019-06-25 15:20:01,2019-06-25 15:22:42,2019-06-25 15:33:23,10.68,500.0,500.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,46.816479400749074,2019-06-25,15.0,1.0,5.0
SCr-266,trout,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Omykiss_Kevan_P1_data.xls,Control ,2019-06-25 15:28:02,2019-06-25 15:20:01,2019-06-25 15:22:42,2019-06-25 15:33:23,10.68,500.0,500.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,46.816479400749074,2019-06-25,15.0,1.0,5.0
SCr-267,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Control ,2019-06-25 17:08:22,2019-06-25 17:00:23,2019-06-25 17:03:04,2019-06-25 17:13:42,10.62,500.0,500.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,47.080979284369114,2019-06-25,17.0,2.0,5.0
SCr-267,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Control ,2019-06-25 17:08:22,2019-06-25 17:00:23,2019-06-25 17:03:04,2019-06-25 17:13:42,10.62,500.0,500.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,47.080979284369114,2019-06-25,17.0,2.0,5.0
SCr-267,trout,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Omykiss_Kevan_P1_data.xls,Control ,2019-06-25 17:08:22,2019-06-25 17:00:23,2019-06-25 17:03:04,2019-06-25 17:13:42,10.62,500.0,500.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,47.080979284369114,2019-06-25,17.0,2.0,5.0
SCr-267,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Omykiss_Kevan_P1_data.xls,Control ,2019-06-25 17:08:22,2019-06-25 17:00:23,2019-06-25 17:03:04,2019-06-25 17:13:42,10.62,500.0,500.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,47.080979284369114,2019-06-25,17.0,2.0,5.0
SCr-266,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Control ,2019-06-25 15:28:02,2019-06-25 15:20:01,2019-06-25 15:22:42,2019-06-25 15:33:23,10.68,500.0,500.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,46.816479400749074,2019-06-25,15.0,1.0,5.0
SCr-266,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Omykiss_Kevan_P1_data.xls,Control ,2019-06-25 15:28:02,2019-06-25 15:20:01,2019-06-25 15:22:42,2019-06-25 15:33:23,10.68,500.0,500.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,46.816479400749074,2019-06-25,15.0,1.0,5.0
SCr-Neg2,trout,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210208_Scott_Creek_Omykiss_Kevan_P2.xls,Control ,,,,,,,,,,,,,,,,
SCr-Neg2,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210208_Scott_Creek_Okisutch_Kevan_P2.xls,Control ,,,,,,,,,,,,,,,,
SCr-Neg2,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210208_Scott_Creek_Omykiss_Kevan_P2.xls,Control ,,,,,,,,,,,,,,,,
SCr-Neg_3874,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210208_Scott_Creek_Okisutch_Kevan_P2.xls,Control ,,,,,,,,,,,,,,,,
SCr-Neg_3874,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210208_Scott_Creek_Okisutch_Kevan_P2.xls,Control ,,,,,,,,,,,,,,,,
