id,target,dilution,conc,conc_sd,detected,BLOD,BLOQ,n_replicates,n_amplified,n_BLOD,n_BLOQ,Ct_Mean,Ct_sd,delta_Ct,inhibition,source_file
SCr-110,coho,1:5,25.46032489271489,44.09857629139281,1,0,0,3,2,2,2,37.0366439819336,0.6489022970199585,2.568592071533196,1.0,20210204_Scott_Creek_Okisutch_Kevan_P3.xls
SCr-110,trout,1:1,48.49391007413403,1.618368290581807,1,0,0,3,3,0,0,33.92368698120117,0.050462324172258384,0.8638687133789062,1.0,20210204_Scott_Creek_Omykiss_Kevan_P3.xls
SCr-110,trout,1:5,428.5044794686469,13.41995513346342,1,0,0,3,3,0,0,33.059818267822266,0.04746685177087784,0.8638687133789062,1.0,20210204_Scott_Creek_Omykiss_Kevan_P3.xls
SCr-111,coho,1:1,14.131818595259816,12.684605416396304,1,0,0,3,3,1,1,36.50458526611328,0.7330618500709534,-1.8490867614746094,0.0,20210210_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-111,coho,1:5,0.0,0.0,1,1,1,3,3,3,3,38.35367202758789,0.8869937658309937,-1.8490867614746094,0.0,20210210_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-111,trout,1:1,159.29992563323705,20.239700121598972,1,0,0,3,3,0,0,32.127059936523445,0.19244803488254547,-2.5961418151855398,0.0,20210210_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-111,trout,1:5,134.44424456223382,119.78074495138985,1,0,0,3,3,1,1,34.723201751708984,0.901336669921875,-2.5961418151855398,0.0,20210210_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-112,coho,1:1,0.0,0.0,1,1,1,3,3,3,3,38.36735153198242,0.9021588563919068,1.0193252563476491,1.0,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-112,coho,1:5,19.782852915450906,34.26490636822306,1,0,0,3,3,2,2,37.34802627563477,0.5329043865203857,1.0193252563476491,1.0,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-112,trout,1:1,183.17918420703862,36.02462662138946,1,0,0,3,3,0,0,31.92601585388184,0.29172807931900024,-1.6119785308837855,1.0,20210202_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-112,trout,1:5,314.7258072782838,46.42433804780071,1,0,0,3,3,0,0,33.537994384765625,0.2164463996887207,-1.6119785308837855,1.0,20210202_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-113,coho,1:1,208.9142747131442,62.777960036905,1,0,0,3,3,0,0,32.69494247,0.469120592,-1.7612915099999995,1.0,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-113,coho,1:5,319.595424107323,73.34795387152639,1,0,0,3,3,0,0,34.45623398,0.372202128,-1.7612915099999995,1.0,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-113,trout,1:1,1641.4221141281196,109.31432641427396,1,0,0,3,3,0,0,28.5827961,0.102204815,-2.22035026,0.0,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-113,trout,1:5,1966.3498014018232,655.3573880957864,1,0,0,3,3,0,0,30.80314636,0.498348802,-2.22035026,0.0,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-114,coho,1:1,69.73938776443252,21.992207171141292,1,0,0,3,3,0,0,34.342453000000006,0.448607951,-2.847415929999997,-1.0,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-114,coho,1:5,24.887050919996017,43.10563664398688,1,0,0,3,3,2,2,37.18986893,0.503142059,-2.847415929999997,-1.0,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-114,trout,1:1,1843.723785736134,180.06617862713244,1,0,0,3,3,0,0,28.40892982,0.145780221,-1.8582058000000004,0.0,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-114,trout,1:5,2734.8865298059113,517.2602138334285,1,0,0,3,3,0,0,30.26713562,0.304409385,-1.8582058000000004,0.0,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-115,coho,1:1,0.0,0.0,1,1,1,3,3,3,3,38.7120361328125,0.18482691049575808,0.24128341674804688,1.0,20210204_Scott_Creek_Okisutch_Kevan_P3.xls
SCr-115,coho,1:5,0.0,0.0,1,1,1,3,1,3,3,38.47075271606445,,0.24128341674804688,1.0,20210204_Scott_Creek_Okisutch_Kevan_P3.xls
SCr-115,trout,1:1,153.0825087215641,24.978181641338736,1,0,0,3,3,0,0,32.19209671020508,0.23809373378753665,-2.4094924926757812,0.0,20210204_Scott_Creek_Omykiss_Kevan_P3.xls
SCr-115,trout,1:5,158.0780695367533,36.62124294345304,1,0,0,3,3,0,0,34.60158920288086,0.3739832043647766,-2.4094924926757812,0.0,20210204_Scott_Creek_Omykiss_Kevan_P3.xls
SCr-116,coho,1:1,0.0,0.0,1,1,1,3,1,3,3,39.75374221801758,,0.7748947143554688,1.0,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-116,coho,1:5,0.0,0.0,1,1,1,3,1,3,3,38.97884750366211,,0.7748947143554688,1.0,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-116,trout,1:1,0.0,0.0,1,1,1,3,3,3,3,36.62776184082031,0.6814495921134949,-1.8894462585449148,0.0,20210202_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-116,trout,1:5,0.0,0.0,1,1,1,3,1,3,3,38.51720809936523,,-1.8894462585449148,0.0,20210202_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-117,coho,1:1,0.0,0.0,1,1,1,3,2,3,3,38.87960052490234,0.5943825244903564,0.2992095947265554,1.0,20210210_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-117,coho,1:5,0.0,0.0,1,1,1,3,2,3,3,38.58039093017578,0.10411687940359116,0.2992095947265554,1.0,20210210_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-117,trout,1:1,0.0,0.0,1,1,1,3,3,3,3,37.17425537109375,1.229357361793518,,,20210210_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-117,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210210_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-118,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,1.0,20210203_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-118,coho,1:5,0.0,0.0,1,1,1,3,1,3,3,38.41162872314453,,,1.0,20210203_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-118,trout,1:1,0.0,0.0,1,1,1,3,3,3,3,37.11993789672852,1.621680736541748,-0.7159347534179545,1.0,20210203_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-118,trout,1:5,0.0,0.0,1,1,1,3,2,3,3,37.83587265014648,0.2781718969345093,-0.7159347534179545,1.0,20210203_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-119,coho,1:1,0.0,0.0,1,1,1,3,2,3,3,39.03970337,0.064314067,,,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-119,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-119,trout,1:1,0.0,0.0,1,1,1,3,3,3,3,35.52800751,0.400829166,,,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-119,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-12,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-12,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-12,trout,1:1,0.0,16.190275858317943,1,1,1,3,3,2,2,35.15182877,0.348979115,-0.23757933999999636,1.0,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-12,trout,1:5,46.136625310320646,79.91097912724356,1,0,0,3,3,2,2,35.38940811,0.536381245,-0.23757933999999636,1.0,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-120,coho,1:1,0.0,0.0,1,1,1,3,2,3,3,38.55559539794922,0.1427382230758667,-0.9435958862304688,1.0,20210204_Scott_Creek_Okisutch_Kevan_P3.xls
SCr-120,coho,1:5,0.0,0.0,1,1,1,3,1,3,3,39.49919128417969,,-0.9435958862304688,1.0,20210204_Scott_Creek_Okisutch_Kevan_P3.xls
SCr-120,trout,1:1,35.78887042403442,1.1362959340910808,1,0,0,3,3,0,0,34.38450241088867,0.04847704619169235,-2.6784095764160156,0.0,20210204_Scott_Creek_Omykiss_Kevan_P3.xls
SCr-120,trout,1:5,0.0,0.0,1,1,1,3,1,3,3,37.06291198730469,,-2.6784095764160156,0.0,20210204_Scott_Creek_Omykiss_Kevan_P3.xls
SCr-121,coho,1:1,0.0,16.047809170646044,1,1,1,3,3,2,2,37.30948639,1.517226219,-1.1201286300000035,1.0,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-121,coho,1:5,0.0,0.0,1,1,1,3,1,3,3,38.42961502,,-1.1201286300000035,1.0,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-121,trout,1:1,208.03961574608522,49.79751196205049,1,0,0,3,3,0,0,31.74113655,0.34554898700000003,-1.4248828899999992,1.0,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-121,trout,1:5,404.9363451755618,79.40930589081741,1,0,0,3,3,0,0,33.16601944,0.313556373,-1.4248828899999992,1.0,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-122,coho,1:1,0.0,0.0,1,1,1,3,2,3,3,38.246864318847656,0.6341124773025513,,,20210208_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-122,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210208_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-122,trout,1:1,37.63117126763427,12.039975827803705,1,0,0,3,3,0,0,34.36676025390625,0.5341020822525024,-2.206573486328125,0.0,20210208_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-122,trout,1:5,0.0,0.0,1,1,1,3,3,3,3,36.573333740234375,1.143319606781006,-2.206573486328125,0.0,20210208_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-123,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-123,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-123,trout,1:1,0.0,0.0,1,1,1,3,3,3,3,36.10049057006836,0.042583581060171134,-2.525989532470703,0.0,20210202_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-123,trout,1:5,0.0,0.0,1,1,1,3,3,3,3,38.62648010253906,0.8063436150550842,-2.525989532470703,0.0,20210202_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-124,coho,1:1,0.0,0.0,1,1,1,3,3,3,3,38.26704407,0.202994391,-1.1453056300000029,1.0,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-124,coho,1:5,0.0,0.0,1,1,1,3,1,3,3,39.4123497,,-1.1453056300000029,1.0,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-124,trout,1:1,100.16072165490318,25.775894872479086,1,0,0,3,3,0,0,32.85488129,0.377652496,-2.1895141600000017,0.0,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-124,trout,1:5,48.10873720763865,83.3267771316094,1,0,0,3,2,2,2,35.04439545,0.472710967,-2.1895141600000017,0.0,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-125,coho,1:1,0.0,0.0,1,1,1,3,1,3,3,39.07239532,,-0.16435242000000017,1.0,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-125,coho,1:5,0.0,0.0,1,1,1,3,1,3,3,39.23674774,,-0.16435242000000017,1.0,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-125,trout,1:1,0.0,0.0,1,1,1,3,3,3,3,36.15195084,0.64740324,-0.5258064200000021,1.0,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-125,trout,1:5,0.0,0.0,1,1,1,3,2,3,3,36.67775726,0.748163879,-0.5258064200000021,1.0,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-126,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,1.0,20210208_Scott_Creek_Okisutch_Kevan_P2.xls
SCr-126,coho,1:5,0.0,0.0,1,1,1,3,1,3,3,38.93826675415039,,,1.0,20210208_Scott_Creek_Okisutch_Kevan_P2.xls
SCr-126,trout,1:1,0.0,0.0,1,1,1,3,3,3,3,37.463722229003906,0.9389692544937134,-0.6897468566894531,1.0,20210208_Scott_Creek_Omykiss_Kevan_P2.xls
SCr-126,trout,1:5,0.0,0.0,1,1,1,3,3,3,3,38.15346908569336,0.9794746637344359,-0.6897468566894531,1.0,20210208_Scott_Creek_Omykiss_Kevan_P2.xls
SCr-127,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-127,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-127,trout,1:1,0.0,0.0,1,1,1,3,3,3,3,37.2156982421875,1.5431364774703982,-0.28208160400390625,1.0,20210202_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-127,trout,1:5,0.0,0.0,1,1,1,3,2,3,3,37.497779846191406,1.4249519109725952,-0.28208160400390625,1.0,20210202_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-128,coho,1:1,16.248497852572658,2.100467782388217,1,0,0,3,3,0,0,36.4935188293457,0.19549499452114105,-2.8738555908203125,-1.0,20210204_Scott_Creek_Okisutch_Kevan_P3.xls
SCr-128,coho,1:5,0.0,0.0,1,1,1,3,1,3,3,39.367374420166016,,-2.8738555908203125,-1.0,20210204_Scott_Creek_Okisutch_Kevan_P3.xls
SCr-128,trout,1:1,53.77979838223797,13.973764767462756,1,0,0,3,3,0,0,33.79965209960937,0.3882167637348175,-1.6195831298828196,1.0,20210204_Scott_Creek_Omykiss_Kevan_P3.xls
SCr-128,trout,1:5,92.01784137294824,80.84515565361883,1,0,0,3,3,1,1,35.41923522949219,1.108302354812622,-1.6195831298828196,1.0,20210204_Scott_Creek_Omykiss_Kevan_P3.xls
SCr-129,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210208_Scott_Creek_Okisutch_Kevan_P2.xls
