slope,slope_LC,slope_UC,intercept,intercept_LC,intercept_UC,Rsq,E,%E,E_Poor,target,source,LOD,LOQ
-3.40063342,-3.50838569,-3.29288115,35.46843148,35.07888363,35.85797932,0.99566,1.968,96.8,0,bass,20210408_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.41482285,-3.50169488,-3.32795082,35.60538851,35.29132727,35.91944975,0.9972,1.963,96.3,0,bass,20210412_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.45659373,-3.5858255,-3.32736197,37.7420561,37.27485522,38.20925698,0.99397,1.947,94.7,0,bass,20210413_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.44022463,-3.50932548,-3.37112378,35.88193113,35.63211655,36.1317457,0.99825,1.953,95.3,0,bass,20210413_Scott_Creek_Msaxatilis_Kevan_P2_data.xls,,
-3.39609454,-3.58092247,-3.2112666,35.22600466,34.55781157,35.89419775,0.98732,1.97,97.0,0,bass,20210415_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.38079186,-3.49985502,-3.2617287,35.30070382,34.87026464,35.73114299,0.99465,1.976,97.6,0,bass,20210422_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.3847574,-3.47747574,-3.29203907,35.36720313,35.03200623,35.70240004,0.99676,1.974,97.4,0,bass,20210422_Scott_Creek_Msaxatilis_Kevan_P2_data.xls,,
-3.57675946,-3.76520692,-3.38831201,36.41353084,35.73225239,37.09480929,0.9881,1.904,90.4,0,bass,20210427_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.75234334,-4.01966672,-3.48501995,37.29563271,36.32920066,38.26206477,0.97846,1.847,84.7,1,bass,20210427_Scott_Creek_Msaxatilis_Kevan_P2_data.xls,,
-3.32406079,-3.40852089,-3.2396007,34.93420542,34.62886384,35.23954699,0.99721,1.999,99.9,0,bass,20210504_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.25414032,-3.3156059,-3.19267475,34.70127607,34.47906469,34.92348746,0.99846,2.029,102.9,0,bass,20210504_Scott_Creek_Msaxatilis_Kevan_P2_data.xls,,
-3.45627206,-3.55011153,-3.36243259,35.63254777,35.29329772,35.97179781,0.99681,1.947,94.7,0,bass,20210506_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.62131651,-3.83803334,-3.40459968,36.40754454,35.62406618,37.1910229,0.9847,1.889,88.9,1,bass,20210506_Scott_Creek_Msaxatilis_Kevan_P2_data.xls,,
-3.36815992,-3.46276348,-3.27355635,35.12499875,34.78298632,35.46701118,0.99659,1.981,98.1,0,bass,20210511_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.43462633,-3.55635605,-3.31289661,35.75647224,35.31639289,36.19655158,0.99458,1.955,95.5,0,bass,20210511_Scott_Creek_Msaxatilis_Kevan_P3_data.xls,,
-3.50693134,-3.57829977,-3.4355629,36.00355184,35.74553945,36.26156422,0.99821,1.928,92.8,0,bass,20210512_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.54935107,-3.70318377,-3.39551838,36.26339831,35.70725974,36.81953688,0.99192,1.913,91.3,0,bass,20210512_Scott_Creek_Msaxatilis_Kevan_P2_data.xls,,
-3.38782546,-3.45509617,-3.32055474,35.25567584,35.01247762,35.49887406,0.99829,1.973,97.3,0,bass,20210513_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.42735718,-3.52209194,-3.33262241,35.45170805,35.10922132,35.79419478,0.9967,1.958,95.8,0,bass,20210513_Scott_Creek_Msaxatilis_Kevan_P2_data.xls,,
-3.37231748,-3.46542821,-3.27920675,35.20517854,34.86856304,35.54179403,0.9967,1.979,97.9,0,bass,20210518_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.399681,-3.5126559,-3.2867061,35.43593728,35.0275085,35.84436606,0.99523,1.969,96.9,0,bass,20210518_Scott_Creek_Msaxatilis_Kevan_P2_data.xls,,
-3.452239,-3.54564013,-3.35883786,35.58044766,35.24278227,35.91811305,0.99684,1.948,94.8,0,bass,20210519_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.50548139,-3.66529424,-3.34566854,35.86294728,35.28518915,36.4407054,0.99107,1.929,92.9,0,bass,20210519_Scott_Creek_Msaxatilis_Kevan_P2_data.xls,,
-3.38217457,-3.49712239,-3.26722675,35.34650119,34.93093989,35.7620625,0.99502,1.975,97.5,0,bass,20210520_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.51753796,-3.62493522,-3.4101407,35.96796363,35.57969922,36.35622803,0.99597,1.924,92.4,0,bass,20210520_Scott_Creek_Msaxatilis_Kevan_P2_data.xls,,
-3.37372272,-3.48588103,-3.2615644,35.24260666,34.83713001,35.64808331,0.99523,1.979,97.9,0,bass,20210524_Scott_Creek_Msaxatilis_Kevan_P1_data.xls,,
-3.37782087,-3.41707163,-3.33857011,35.24079854,35.09780118,35.3837959,0.99798,1.977,97.7,0,bass,20210524_Scott_Creek_Msaxatilis_Kevan_P2_data.xls,,
-3.43478916,-3.45784415,-3.41173417,35.63052745,35.54694074,35.71411417,0.99035,1.955,95.5,0,bass,combined,5.0,94.0
-3.58077765,-3.69636197,-3.46519332,36.55171157,36.12130814,36.98211499,0.98017,1.902,90.2,0,nzms,20210325_NZMS_C01_Standards_data.xls,,
-3.51508788,-3.8070198,-3.22315596,36.36597512,35.23012909,37.50182115,0.97603,1.925,92.5,0,nzms,20210329_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.4536188,-3.72817865,-3.17905895,36.22535438,35.20915441,37.24155435,0.97487,1.948,94.8,0,nzms,20210405_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.58679353,-3.91118952,-3.26239753,36.94946569,35.68730873,38.21162266,0.9717,1.9,90.0,0,nzms,20210405_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.59008411,-3.87886357,-3.30130466,36.7851975,35.63756003,37.93283497,0.97908,1.899,89.9,1,nzms,20210406_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.41826869,-3.71876235,-3.11777503,35.93517677,34.73433269,37.13602085,0.97512,1.961,96.1,0,nzms,20210406_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.52891985,-3.78633039,-3.27150931,36.39671252,35.39518194,37.39824311,0.98141,1.92,92.0,0,nzms,20210407_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.56307239,-3.7089733,-3.41717148,36.84855865,36.264955,37.4321623,0.99449,1.908,90.8,0,nzms,20210407_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.22469127,-3.45195572,-2.99742681,35.19138716,34.35023674,36.03253758,0.98015,2.042,104.2,0,nzms,20210408_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.53903369,-3.74376005,-3.33430732,36.52720967,35.77018471,37.28423463,0.98654,1.917,91.7,0,nzms,20210412_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.54526348,-3.76835778,-3.32216918,36.50529699,35.63728373,37.37331024,0.9861,1.915,91.5,0,nzms,20210413_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.52941111,-3.82005526,-3.23876695,36.47955239,35.4288107,37.53029409,0.97143,1.92,92.0,0,nzms,20210413_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.57490775,-3.74131015,-3.40850534,36.84429972,36.2129756,37.47562385,0.99179,1.904,90.4,0,nzms,20210415_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.41390623,-4.04545937,-2.7823531,36.48684041,34.10521083,38.86847,0.89139,1.963,96.3,0,nzms,20210422_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.54783013,-3.72963684,-3.36602342,36.50842739,35.80105551,37.21579927,0.99074,1.914,91.4,0,nzms,20210422_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.49315244,-3.65510772,-3.33119716,36.6149036,36.00102651,37.2287807,0.99186,1.933,93.3,0,nzms,20210427_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.4883569,-3.68381015,-3.29290365,36.36681228,35.60634457,37.12727999,0.98895,1.935,93.5,0,nzms,20210427_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.57050235,-3.74988846,-3.39111624,36.77507498,36.0944912,37.45565875,0.99045,1.906,90.6,0,nzms,20210504_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.72100741,-3.93103964,-3.51097519,37.44187756,36.64502363,38.23873149,0.98798,1.857,85.7,1,nzms,20210504_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.53490018,-3.78755413,-3.28224624,36.46632692,35.50866458,37.42398925,0.98086,1.918,91.8,0,nzms,20210506_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.41005944,-3.54131075,-3.27880813,35.8922828,35.39432055,36.39024505,0.99437,1.964,96.4,0,nzms,20210506_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.35027549,-3.39602136,-3.30452962,35.15500892,34.98569446,35.32432338,0.99924,1.988,98.8,0,nzms,20210511_Scott_Creek_Msaxatilis_Kevan_P2_data.xls,,
-3.5716313,-3.97729959,-3.165963,36.41314321,34.83625467,37.99003176,0.95609,1.905,90.5,0,nzms,20210511_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.45877306,-3.57354503,-3.34400108,36.34264044,35.89608668,36.7891942,0.9961,1.946,94.6,0,nzms,20210511_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.47246754,-3.69978931,-3.24514577,36.34811093,35.50753404,37.18868782,0.98282,1.941,94.1,0,nzms,20210512_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.56547262,-3.72056338,-3.41038186,36.76366177,36.15967003,37.3676535,0.99331,1.908,90.8,0,nzms,20210512_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.4571703,-3.68651282,-3.22782777,37.46436087,36.57203708,38.35668466,0.98457,1.946,94.6,0,nzms,20210513_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.58260766,-3.77851586,-3.38669947,37.39903271,36.65576479,38.14230063,0.98871,1.902,90.2,0,nzms,20210513_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.47945719,-3.73421697,-3.2246974,36.13920446,35.17265594,37.10575297,0.97994,1.938,93.8,0,nzms,20210518_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.4146091,-3.64208961,-3.18712859,35.90633315,35.04328112,36.76938517,0.98333,1.963,96.3,0,nzms,20210518_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.48180768,-3.67485233,-3.28876304,36.23588823,35.48408734,36.98768911,0.98917,1.937,93.7,0,nzms,20210519_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.53840659,-3.9068912,-3.16992197,36.22542933,34.79173277,37.65912588,0.96282,1.917,91.7,0,nzms,20210519_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.58165921,-3.74014005,-3.42317838,36.9293342,36.35639158,37.50227681,0.99158,1.902,90.2,0,nzms,20210520_Scott_Creek_NZMS_ Kevan_P1_data.xls,,
-3.52476269,-3.76926545,-3.28025994,36.19854666,35.29359391,37.1034994,0.98075,1.922,92.2,0,nzms,20210520_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.50950763,-3.74909862,-3.26991664,36.45980254,35.59362912,37.32597596,0.98019,1.927,92.7,0,nzms,20210524_Scott_Creek_NZMS_Kevan_P1_data.xls,,
-3.47464903,-3.5850634,-3.36423466,36.13241268,35.73015393,36.53467144,0.98508,1.94,94.0,0,nzms,20210524_Scott_Creek_NZMS_Kevan_P2_data.xls,,
-3.50747492,-3.54438296,-3.47056687,36.42290482,36.28315279,36.56265685,0.97813,1.928,92.8,0,nzms,combined,14.20433783,14.20433783
