id,target,dilution,replicate,conc,amplified,BLOD,BLOQ,Ct,Ct_Mean,Ct_sd,well,source_file
SCr-832,coho,1:5,1.0,0.0,0,1,1,,39.7867012,,F10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-832,coho,1:5,2.0,0.0,0,1,1,,39.7867012,,F11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-832,coho,1:5,3.0,0.0,1,1,1,39.7867012,39.7867012,,F12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-820,coho,1:1,1.0,181.14269516270116,1,0,0,32.86168671,33.34007645,0.430997133,G4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-820,coho,1:1,2.0,121.61037197199822,1,0,0,33.46044922,33.34007645,0.430997133,G5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-820,coho,1:1,3.0,103.82227433618536,1,0,0,33.69808578,33.34007645,0.430997133,G6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-820,coho,1:5,1.0,164.766470399348,1,0,0,35.42254639,35.5308609,0.14162153,G7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-820,coho,1:5,2.0,158.7001121396659,1,0,0,35.47891617,35.5308609,0.14162153,G8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-820,coho,1:5,3.0,137.7994562425211,1,0,0,35.69112015,35.5308609,0.14162153,G9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-834,coho,1:1,1.0,0.0,1,1,1,36.99871445,38.07116699,0.928776741,G10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-834,coho,1:1,2.0,0.0,1,1,1,38.60451126,38.07116699,0.928776741,G11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-834,coho,1:1,3.0,0.0,1,1,1,38.61027908,38.07116699,0.928776741,G12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-825,coho,1:1,1.0,90.92790184247589,1,0,0,33.89736176,34.15293503,0.34509593200000005,H4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-825,coho,1:1,2.0,59.07171012050346,1,0,0,34.54549026,34.15293503,0.34509593200000005,H5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-825,coho,1:1,3.0,84.02796230461666,1,0,0,34.01594925,34.15293503,0.34509593200000005,H6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-825,coho,1:5,1.0,59.311206252773545,1,0,0,36.95788193,36.9174614,0.556600153,H7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-825,coho,1:5,2.0,0.0,1,1,1,37.45274353,36.9174614,0.556600153,H8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-825,coho,1:5,3.0,89.3732890874257,1,0,0,36.34174728,36.9174614,0.556600153,H9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-834,coho,1:5,1.0,0.0,0,1,1,,39.16663361,,H10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-834,coho,1:5,2.0,0.0,1,1,1,39.16663361,39.16663361,,H11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-834,coho,1:5,3.0,0.0,0,1,1,,39.16663361,,H12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-239,trout,1:1,1.0,520.7946127972426,1,0,0,30.32195091,30.25925446,0.054556124,A4,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-239,trout,1:1,2.0,552.1678187172981,1,0,0,30.23321342,30.25925446,0.054556124,A5,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-239,trout,1:1,3.0,556.0456229663987,1,0,0,30.22259712,30.25925446,0.054556124,A6,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-239,trout,1:5,1.0,324.69014611713635,1,0,0,33.48017883,33.22062302,0.38219443,A7,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-239,trout,1:5,2.0,514.5472712721432,1,0,0,32.78173828,33.22062302,0.38219443,A8,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-239,trout,1:5,3.0,342.3256223229497,1,0,0,33.39994431,33.22062302,0.38219443,A9,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-271,trout,1:1,1.0,1474.8550983108364,1,0,0,28.74283981,28.9150238,0.280440927,A10,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-271,trout,1:1,2.0,1454.8057575360085,1,0,0,28.76360321,28.9150238,0.280440927,A11,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-271,trout,1:1,3.0,1063.6796578190504,1,0,0,29.23862648,28.9150238,0.280440927,A12,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-240,trout,1:1,1.0,420.4041218337689,1,0,0,30.64679527,30.69724846,0.050037872,B4,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-240,trout,1:1,2.0,406.42795939905994,1,0,0,30.69808388,30.69724846,0.050037872,B5,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-240,trout,1:1,3.0,393.56760533245836,1,0,0,30.746860499999997,30.69724846,0.050037872,B6,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-240,trout,1:5,1.0,330.92351323254826,1,0,0,33.45133209,33.05679321,0.344608635,B7,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-240,trout,1:5,2.0,503.4883984245147,1,0,0,32.81469727,33.05679321,0.344608635,B8,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-240,trout,1:5,3.0,474.5945597640384,1,0,0,32.90435028,33.05679321,0.344608635,B9,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-271,trout,1:5,1.0,1405.9174204013186,1,0,0,31.25693703,31.29221535,0.032351378,B10,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-271,trout,1:5,2.0,1367.2684699871284,1,0,0,31.29922295,31.29221535,0.032351378,B11,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-271,trout,1:5,3.0,1348.2323824980385,1,0,0,31.32049179,31.29221535,0.032351378,B12,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-272,trout,1:1,1.0,942.8773708775875,1,0,0,29.42150307,29.42285156,0.142116576,C10,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-272,trout,1:1,2.0,857.4148840824682,1,0,0,29.56563759,29.42285156,0.142116576,C11,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-272,trout,1:1,3.0,1034.0968827404886,1,0,0,29.28141403,29.42285156,0.142116576,C12,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-272,trout,1:5,1.0,835.9372118469258,1,0,0,32.04560089,32.08360672,0.070302531,D10,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-272,trout,1:5,2.0,772.8019855326895,1,0,0,32.16473007,32.08360672,0.070302531,D11,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-272,trout,1:5,3.0,838.7608959886818,1,0,0,32.04048538,32.08360672,0.070302531,D12,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-273,trout,1:1,1.0,1450.8582679257925,1,0,0,28.76772499,28.98731995,0.226707935,E10,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-273,trout,1:1,2.0,1266.6404751458483,1,0,0,28.97371101,28.98731995,0.226707935,E11,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-273,trout,1:1,3.0,1076.4462720904842,1,0,0,29.22052765,28.98731995,0.226707935,E12,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-268,trout,1:1,1.0,0.0,0,1,1,,,,F4,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-268,trout,1:1,2.0,0.0,0,1,1,,,,F5,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-268,trout,1:1,3.0,0.0,0,1,1,,,,F6,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-268,trout,1:5,1.0,0.0,0,1,1,,,,F7,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-268,trout,1:5,2.0,0.0,0,1,1,,,,F8,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-268,trout,1:5,3.0,0.0,0,1,1,,,,F9,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-273,trout,1:5,1.0,1055.7341134781977,1,0,0,31.69148064,31.82843208,0.122570321,F10,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-273,trout,1:5,2.0,941.0163813145336,1,0,0,31.86598015,31.82843208,0.122570321,F11,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-273,trout,1:5,3.0,903.4166978634178,1,0,0,31.92783737,31.82843208,0.122570321,F12,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-269,trout,1:1,1.0,0.0,0,1,1,,,,G4,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-269,trout,1:1,2.0,0.0,0,1,1,,,,G5,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-269,trout,1:1,3.0,0.0,0,1,1,,,,G6,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-269,trout,1:5,1.0,0.0,0,1,1,,,,G7,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-269,trout,1:5,2.0,0.0,0,1,1,,,,G8,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-269,trout,1:5,3.0,0.0,0,1,1,,,,G9,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-274,trout,1:1,1.0,59.9068250662432,1,0,0,33.60251236,33.41368484,0.231051847,G10,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-274,trout,1:1,2.0,80.40730167249659,1,0,0,33.15604401,33.41368484,0.231051847,G11,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-274,trout,1:1,3.0,64.83881987035802,1,0,0,33.48249817,33.41368484,0.231051847,G12,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-270,trout,1:1,1.0,811.1696326252566,1,0,0,29.64974594,29.79078674,0.16154176,H4,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-270,trout,1:1,2.0,658.078669576711,1,0,0,29.96702576,29.79078674,0.16154176,H5,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
