Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201112_Scott_Creek_Omykiss_Chloe_P2.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-12 14:26:52 PM PST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
F11,SCr-535-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.97392273,34.12270737,0.453986287,90.09858704,84.20227814,22.29413414,FALSE,0.1,TRUE,3,30,,N,N
F12,SCr-535-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.76177597,34.12270737,0.453986287,102.9555893,84.20227814,22.29413414,FALSE,0.1,TRUE,3,30,,N,N
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.67479324,37.27151489,0.843891859,5,,,FALSE,0.1,TRUE,3,33,,Y,N
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,37.27151489,0.843891859,5,,,FALSE,0.1,TRUE,3,39,,N,Y
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.86823654,37.27151489,0.843891859,5,,,FALSE,0.1,TRUE,3,34,,Y,N
G4,SCr-511,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.64431,34.34523392,0.338128954,59.10879517,72.43935394,15.77091503,FALSE,0.1,TRUE,3,32,,N,N
G5,SCr-511,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.41305161,34.34523392,0.338128954,68.36013794,72.43935394,15.77091503,FALSE,0.1,TRUE,3,31,,N,N
G6,SCr-511,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.97833252,34.34523392,0.338128954,89.84911346,72.43935394,15.77091503,FALSE,0.1,TRUE,3,30,,N,N
G7,SCr-511-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.57670975,35.23136902,1.178368211,17.53728676,47.68685532,27.01449394,FALSE,0.1,TRUE,3,33,,Y,N
G8,SCr-511-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.38235474,35.23136902,1.178368211,69.69241333,47.68685532,27.01449394,FALSE,0.1,TRUE,3,30,,Y,N
