Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201118_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-18 13:05:14 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,38.75124359,37.78354263,0.973739386,10,,,FALSE,0.1,TRUE,3,35,,Y,N,N,N
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.80387497,37.78354263,0.973739386,10,,,FALSE,0.1,TRUE,3,33,,Y,N,N,N
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.79550171,37.78354263,0.973739386,10,,,FALSE,0.1,TRUE,3,34,,Y,N,N,N
F4,SCr-EB12,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F5,SCr-EB12,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F6,SCr-EB12,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F7,SCr-EB12-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
F8,SCr-EB12-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F9,SCr-EB12-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F10,SCr-011-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F11,SCr-011-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
F12,SCr-011-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.71453094,36.71453094,,5,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,36.71453094,,5,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,36.71453094,,5,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G4,SCr-002,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G5,SCr-002,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
G6,SCr-002,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
G7,SCr-002-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G8,SCr-002-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G9,SCr-002-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G10,SCr-012,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.40634155,35.15182877,0.348979115,31.47604561,37.7126503,8.860886574,FALSE,0.1,TRUE,3,31,,N,N,N,N
G11,SCr-012,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.75400925,35.15182877,0.348979115,47.85547256,37.7126503,8.860886574,FALSE,0.1,TRUE,3,31,,N,N,N,N
G12,SCr-012,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.29513168,35.15182877,0.348979115,33.80643082,37.7126503,8.860886574,FALSE,0.1,TRUE,3,32,,N,N,N,N
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
H4,SCr-003,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
H5,SCr-003,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
H6,SCr-003,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
H7,SCr-003-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
H8,SCr-003-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
H9,SCr-003-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
H10,SCr-012-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.77363205,35.38940811,0.536381245,47.25614929,33.17139435,12.23598289,FALSE,0.1,TRUE,3,31,,Y,N,N,N
H11,SCr-012-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.75491333,35.38940811,0.536381245,25.16256714,33.17139435,12.23598289,FALSE,0.1,TRUE,3,34,,Y,N,N,N
H12,SCr-012-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.63967896,35.38940811,0.536381245,27.09546661,33.17139435,12.23598289,FALSE,0.1,TRUE,3,31,,Y,N,N,N
