INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
4.05	-0.08	378.01	
4.06	-0.08	380.91	
4.07	-0.08	383.81	
4.08	-0.08	386.71	
4.09	-0.08	389.62	
4.10	-0.08	392.52	
4.11	-0.08	395.43	
4.12	-0.08	398.35	
4.13	-0.07	401.26	
4.14	-0.07	404.18	
4.15	-0.07	407.11	*
4.16	-0.07	410.03	
4.17	-0.07	412.96	
4.18	-0.07	415.89	
4.19	-0.07	418.82	
4.20	-0.07	421.76	
4.21	-0.07	424.70	
4.22	-0.07	427.64	
4.23	-0.07	430.65	
4.24	-0.07	433.66	
4.25	-0.07	436.68	
4.26	-0.07	439.70	
4.27	-0.07	442.73	
4.28	-0.07	445.76	
4.29	-0.07	448.79	
4.30	-0.07	451.83	
4.31	-0.07	454.87	
4.32	-0.07	457.91	
4.33	-0.07	460.95	
4.34	-0.07	464.00	
4.35	-0.07	467.05	
4.36	-0.07	470.11	
4.37	-0.07	473.16	
4.38	-0.06	476.23	
4.39	-0.06	479.29	
4.40	-0.06	482.36	
4.41	-0.06	485.43	
4.42	-0.06	488.50	
4.43	-0.06	491.57	*
4.44	-0.06	494.65	
4.45	-0.06	497.73	
4.46	-0.06	500.82	
4.47	-0.06	503.91	
4.48	-0.06	507.00	
4.49	-0.06	510.09	
4.50	-0.06	513.31	
4.51	-0.06	516.54	
4.52	-0.06	519.77	
4.53	-0.06	523.00	
4.54	-0.06	526.24	
4.55	-0.06	529.49	
4.56	-0.06	532.73	
4.57	-0.06	535.98	
4.58	-0.06	539.24	
4.59	-0.06	542.49	
4.60	-0.06	545.75	
4.61	-0.06	549.02	
4.62	-0.06	552.29	
4.63	-0.05	555.56	
4.64	-0.05	558.84	
4.65	-0.05	562.12	
4.66	-0.05	565.40	
4.67	-0.05	568.69	
4.68	-0.05	571.98	
4.69	-0.05	575.27	
4.70	-0.05	578.57	
4.71	-0.05	581.87	
4.72	-0.05	585.17	
4.73	-0.05	588.48	
4.74	-0.05	591.79	
4.75	-0.05	595.11	
4.76	-0.05	598.43	
4.77	-0.05	601.75	
4.78	-0.05	605.07	
4.79	-0.05	608.40	
4.80	-0.05	611.74	
4.81	-0.05	615.07	
4.82	-0.05	618.41	
4.83	-0.05	621.75	
4.84	-0.05	625.10	
4.85	-0.05	628.45	
4.86	-0.05	631.80	
4.87	-0.05	635.16	
4.88	-0.04	638.52	
4.89	-0.04	641.88	
4.90	-0.04	645.25	
4.91	-0.04	648.62	
4.92	-0.04	651.99	
4.93	-0.04	655.37	
4.94	-0.04	658.75	
4.95	-0.04	662.13	
4.96	-0.04	665.51	
4.97	-0.04	668.90	
4.98	-0.04	672.30	
4.99	-0.04	675.69	
5.00	-0.04	679.09	
5.01	-0.04	682.49	
5.02	-0.04	685.90	
5.03	-0.04	689.31	
5.04	-0.04	692.72	
5.05	-0.04	696.13	
5.06	-0.04	699.55	
5.07	-0.04	702.97	
5.08	-0.04	706.40	
5.09	-0.04	709.82	
5.10	-0.04	713.26	
5.11	-0.04	716.69	
5.12	-0.04	720.13	
5.13	-0.03	723.57	
5.14	-0.03	727.01	
5.15	-0.03	730.46	
5.16	-0.03	733.90	
5.17	-0.03	737.36	
5.18	-0.03	740.81	
5.19	-0.03	744.27	
5.20	-0.03	747.73	
5.21	-0.03	751.20	
5.22	-0.03	754.66	
5.23	-0.03	758.13	
5.24	-0.03	761.61	
5.25	-0.03	765.08	
5.26	-0.03	768.56	
5.27	-0.03	772.05	
5.28	-0.03	775.53	
5.29	-0.03	779.02	
5.30	-0.03	782.51	
5.31	-0.03	786.00	
5.32	-0.03	789.50	
5.33	-0.03	793.00	
5.34	-0.03	796.51	
5.35	-0.03	800.01	
5.36	-0.03	803.52	
5.37	-0.03	807.03	
5.38	-0.02	810.55	
5.39	-0.02	814.06	
5.40	-0.02	817.58	
5.41	-0.02	821.11	
5.42	-0.02	824.63	
5.43	-0.02	828.16	
5.44	-0.02	831.69	
5.45	-0.02	835.23	
5.46	-0.02	838.77	
5.47	-0.02	842.31	
5.48	-0.02	845.85	
5.49	-0.02	849.39	
5.50	-0.02	852.94	
5.51	-0.02	856.49	
5.52	-0.02	860.05	
5.53	-0.02	863.61	
5.54	-0.02	867.17	
5.55	-0.02	870.73	
5.56	-0.02	874.29	
5.57	-0.02	877.86	
5.58	-0.02	881.43	
5.59	-0.02	885.01	
5.60	-0.02	888.58	
5.61	-0.02	892.16	
5.62	-0.02	895.74	
5.63	-0.01	899.33	
5.64	-0.01	902.91	
5.65	-0.01	906.50	
5.66	-0.01	910.10	
5.67	-0.01	913.69	
5.68	-0.01	917.29	
5.69	-0.01	920.89	
5.70	-0.01	924.49	
5.71	-0.01	928.10	
5.72	-0.01	931.71	
5.73	-0.01	935.32	
5.74	-0.01	938.93	
5.75	-0.01	942.55	
5.76	-0.01	946.17	
5.77	-0.01	949.79	
5.78	-0.01	953.41	
5.79	-0.01	957.04	
5.80	-0.01	960.67	
5.81	-0.01	964.30	
5.82	-0.01	967.93	
5.83	-0.01	971.57	
5.84	-0.01	975.21	
5.85	-0.01	978.85	
5.86	-0.01	982.50	
5.87	-0.01	986.15	
5.88	0.00	989.80	
5.89	0.00	993.45	
5.90	0.00	997.10	
5.91	0.00	1000.76	
5.92	0.00	1004.42	
5.93	0.00	1008.08	
5.94	0.00	1011.75	
5.95	0.00	1015.42	
5.96	0.00	1019.09	
5.97	0.00	1022.76	
5.98	0.00	1026.43	
5.99	0.00	1030.11	
6.00	0.00	1033.79	
6.01	0.00	1037.33	
6.02	0.00	1040.87	
6.03	0.00	1044.42	
6.04	0.00	1047.97	
6.05	0.00	1051.52	
6.06	0.00	1055.07	
6.07	0.00	1058.62	
6.08	0.00	1062.18	
6.09	0.00	1065.74	
6.10	0.00	1069.30	
6.11	0.00	1072.86	
6.12	0.00	1076.43	
6.13	0.00	1080.00	
6.14	0.00	1083.57	
6.15	0.00	1087.14	
6.16	0.00	1090.71	
6.17	0.00	1094.29	
6.18	0.00	1097.87	
6.19	0.00	1101.45	
6.20	0.00	1105.03	
6.21	0.00	1108.62	
6.22	0.00	1112.21	
6.23	0.00	1115.80	
6.24	0.00	1119.39	
6.25	0.00	1122.98	
6.26	0.00	1126.58	
6.27	0.00	1130.18	
6.28	0.00	1133.78	
6.29	0.00	1137.38	
6.30	0.00	1140.99	
6.31	0.00	1144.59	
6.32	0.00	1148.20	
6.33	0.00	1151.82	
6.34	0.00	1155.43	
6.35	0.00	1159.04	
6.36	0.00	1162.66	
6.37	0.00	1166.28	
6.38	0.00	1169.90	
6.39	0.00	1173.53	
6.40	0.00	1177.16	
