Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201124_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-24 13:24:23 PM PST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,OUTLIERRG,EXPFAIL
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,N,N
H4,SCr-033,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N,N
H5,SCr-033,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N,N
H6,SCr-033,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N,N
H7,SCr-033-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.56794739,36.28124619,0.585073888,3.042532206,3.960816145,1.773247957,FALSE,0.1,TRUE,3,33,,Y,N,N,N,N
H8,SCr-033-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.66766739,36.28124619,0.585073888,2.835036993,3.960816145,1.773247957,FALSE,0.1,TRUE,3,33,,Y,N,N,N,N
H9,SCr-033-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.60811615,36.28124619,0.585073888,6.004878998,3.960816145,1.773247957,FALSE,0.1,TRUE,3,32,,Y,N,N,N,N
H10,SCr-048-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.46682739,35.98707581,0.44102627,3.268453598,4.737079144,1.394257069,FALSE,0.1,TRUE,3,33,,N,N,N,N,N
H11,SCr-048-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.59926987,35.98707581,0.44102627,6.04262495,4.737079144,1.394257069,FALSE,0.1,TRUE,3,33,,N,N,N,N,N
H12,SCr-048-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.89513397,35.98707581,0.44102627,4.900158405,4.737079144,1.394257069,FALSE,0.1,TRUE,3,32,,N,N,N,N,N
