Block Type,96well,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\S1P_data\eds_files\20201027_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP
E4,SCr-332,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,20,,N
E5,SCr-332,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N
E6,SCr-332,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N
E7,SCr-332-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N
E8,SCr-332-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N
E9,SCr-332-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N
E10,SCr-338,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.43464279,30.74051857,0.269928157,665.3295898,554.2310181,97.58175659,FALSE,0.1,TRUE,3,26,,N
E11,SCr-338,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.84158325,30.74051857,0.269928157,514.9616699,554.2310181,97.58175659,FALSE,0.1,TRUE,3,28,,N
E12,SCr-338,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.94533157,30.74051857,0.269928157,482.401886,554.2310181,97.58175659,FALSE,0.1,TRUE,3,27,,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.89154434,38.1437912,0.356730938,10,,,FALSE,0.1,TRUE,3,34,,N
