Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201005_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-05 11:34:47 AM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG
F11,SCr-221-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.79743195,30.96304321,0.14928104,208.3688812,186.8637848,19.26980591,FALSE,0.1,TRUE,3,27,,N,N
F12,SCr-221-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.00444794,30.96304321,0.14928104,181.0582886,186.8637848,19.26980591,FALSE,0.1,TRUE,3,28,,N,N
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.08435059,36.13141251,0.825418115,5,,,FALSE,0.1,TRUE,3,34,,Y,Y
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.67077255,36.13141251,0.825418115,5,,,FALSE,0.1,TRUE,3,32,,Y,N
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.63912201,36.13141251,0.825418115,5,,,FALSE,0.1,TRUE,3,32,,Y,N
G4,SCr-217,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.10839462,31.16179848,0.099217564,168.7259521,162.963028,10.75320911,FALSE,0.1,TRUE,3,28,,N,N
G5,SCr-217,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.10072517,31.16179848,0.099217564,169.6064301,162.963028,10.75320911,FALSE,0.1,TRUE,3,28,,N,N
G6,SCr-217,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.27628136,31.16179848,0.099217564,150.5567017,162.963028,10.75320911,FALSE,0.1,TRUE,3,28,,N,N
G7,SCr-217-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.42850113,31.45451927,0.049331244,135.7800293,133.4532318,4.424304008,FALSE,0.1,TRUE,3,29,,N,N
G8,SCr-217-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.4236412,31.45451927,0.049331244,136.2285919,133.4532318,4.424304008,FALSE,0.1,TRUE,3,29,,N,N
G9,SCr-217-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.51141167,31.45451927,0.049331244,128.3510437,133.4532318,4.424304008,FALSE,0.1,TRUE,3,28,,N,N
G10,SCr-222,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.87139511,29.96800804,0.286965132,390.6308899,370.345459,68.62229919,FALSE,0.1,TRUE,3,27,,N,N
G11,SCr-222,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.74181557,29.96800804,0.286965132,426.5382385,370.345459,68.62229919,FALSE,0.1,TRUE,3,26,,N,N
G12,SCr-222,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.29080963,29.96800804,0.286965132,293.8672791,370.345459,68.62229919,FALSE,0.1,TRUE,3,27,,N,N
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H4,SCr-218,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.26349258,30.41779137,0.211328596,299.3659973,271.4103088,37.38420868,FALSE,0.1,TRUE,3,26,,N,N
H5,SCr-218,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.65865707,30.41779137,0.211328596,228.9467163,271.4103088,37.38420868,FALSE,0.1,TRUE,3,28,,N,N
H6,SCr-218,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.33121681,30.41779137,0.211328596,285.9182739,271.4103088,37.38420868,FALSE,0.1,TRUE,3,27,,N,N
H7,SCr-218-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.65004349,31.89362526,0.297407418,116.8261337,100.3383865,19.32048607,FALSE,0.1,TRUE,3,28,,N,N
H8,SCr-218-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.80576706,31.89362526,0.297407418,105.1097794,100.3383865,19.32048607,FALSE,0.1,TRUE,3,29,,N,N
H9,SCr-218-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.22506332,31.89362526,0.297407418,79.07926178,100.3383865,19.32048607,FALSE,0.1,TRUE,3,29,,N,N
H10,SCr-222-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.44926071,32.02639389,0.407108456,67.91790009,92.78457642,24.96902847,FALSE,0.1,TRUE,3,29,,N,N
H11,SCr-222-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.63712692,32.02639389,0.407108456,117.8547134,92.78457642,24.96902847,FALSE,0.1,TRUE,3,29,,N,N
H12,SCr-222-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.99278641,32.02639389,0.407108456,92.58110046,92.78457642,24.96902847,FALSE,0.1,TRUE,3,29,,N,N
