sample_mid,sample_wake,sample_start,sample_end,sample_duration,vol_target,vol_actual,vol_diff,lab_field,id,ESP,log_file,sample_rate,date,hour,morn_midday_eve,deployment
2019-04-08 17:06:18,2019-04-08 16:54:44,2019-04-08 17:00:19,2019-04-08 17:12:18,11.97,2000,375.0,1625.0,deployed,SCr-46,Waldo,Waldo_2019_Scott_Creek_20210223.csv,31.32832080200501,2019-04-08,17,2,1
2019-04-09 05:07:30,2019-04-09 04:54:37,2019-04-09 05:00:11,2019-04-09 05:14:49,14.62,2000,200.0,1800.0,deployed,SCr-47,Waldo,Waldo_2019_Scott_Creek_20210223.csv,13.679890560875513,2019-04-09,5,0,1
2019-04-09 11:08:04,2019-04-09 10:54:33,2019-04-09 11:00:08,2019-04-09 11:16:00,15.87,2000,450.0,1550.0,deployed,SCr-48,Waldo,Waldo_2019_Scott_Creek_20210223.csv,28.355387523629492,2019-04-09,11,1,1
2019-04-09 17:06:06,2019-04-09 16:54:33,2019-04-09 17:00:09,2019-04-09 17:12:05,11.92,2000,325.0,1675.0,deployed,SCr-49,Waldo,Waldo_2019_Scott_Creek_20210223.csv,27.26510067114094,2019-04-09,17,2,1
2019-04-10 05:26:18,2019-04-10 05:04:38,2019-04-10 05:10:14,2019-04-10 05:42:22,32.13,2000,475.0,1525.0,deployed,SCr-50,Waldo,Waldo_2019_Scott_Creek_20210223.csv,14.78369125427949,2019-04-10,5,0,1
2019-04-10 11:28:00,2019-04-10 11:04:34,2019-04-10 11:10:09,2019-04-10 11:45:50,35.68,2000,600.0,1400.0,deployed,SCr-51,Waldo,Waldo_2019_Scott_Creek_20210223.csv,16.816143497757846,2019-04-10,11,1,1
2019-04-10 17:28:54,2019-04-10 17:04:33,2019-04-10 17:10:10,2019-04-10 17:47:38,37.47,2000,575.0,1425.0,deployed,SCr-52,Waldo,Waldo_2019_Scott_Creek_20210223.csv,15.345609821190285,2019-04-10,17,2,1
2019-04-11 05:26:35,2019-04-11 05:04:48,2019-04-11 05:10:24,2019-04-11 05:42:47,32.37,2000,325.0,1675.0,deployed,SCr-53,Waldo,Waldo_2019_Scott_Creek_20210223.csv,10.040160642570282,2019-04-11,5,0,1
2019-04-11 11:28:48,2019-04-11 11:04:37,2019-04-11 11:10:12,2019-04-11 11:47:26,37.22,2000,525.0,1475.0,deployed,SCr-54,Waldo,Waldo_2019_Scott_Creek_20210223.csv,14.105319720580333,2019-04-11,11,1,1
2019-04-11 17:23:28,2019-04-11 17:04:34,2019-04-11 17:10:11,2019-04-11 17:36:45,26.55,2000,525.0,1475.0,deployed,SCr-55,Waldo,Waldo_2019_Scott_Creek_20210223.csv,19.774011299435028,2019-04-11,17,2,1
2019-04-12 05:27:38,2019-04-12 05:04:37,2019-04-12 05:10:13,2019-04-12 05:45:04,34.85,2000,523.8,1476.2,deployed,SCr-56,Waldo,Waldo_2019_Scott_Creek_20210223.csv,15.030129124820657,2019-04-12,5,0,1
2019-04-12 11:20:37,2019-04-12 10:54:35,2019-04-12 11:00:11,2019-04-12 11:41:04,40.87,2000,575.0,1425.0,deployed,SCr-57,Waldo,Waldo_2019_Scott_Creek_20210223.csv,14.068999265965257,2019-04-12,11,1,1
2019-04-12 17:20:43,2019-04-12 16:54:34,2019-04-12 17:00:12,2019-04-12 17:41:14,41.03,2000,600.0,1400.0,deployed,SCr-58,Waldo,Waldo_2019_Scott_Creek_20210223.csv,14.623446258835,2019-04-12,17,2,1
