"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993)","Host Connected (LGR S/N: 9668993)","End Of File (LGR S/N: 9668993)"
401,04/03/20 04:00:00 AM,41.067,,,,
402,04/03/20 05:00:00 AM,40.321,,,,
403,04/03/20 06:00:00 AM,39.947,,,,
404,04/03/20 07:00:00 AM,39.573,,,,
405,04/03/20 08:00:00 AM,40.321,,,,
406,04/03/20 09:00:00 AM,44.013,,,,
407,04/03/20 10:00:00 AM,50.113,,,,
408,04/03/20 11:00:00 AM,54.147,,,,
409,04/03/20 12:00:00 PM,67.564,,,,
410,04/03/20 01:00:00 PM,75.139,,,,
411,04/03/20 02:00:00 PM,62.598,,,,
412,04/03/20 03:00:00 PM,60.539,,,,
413,04/03/20 04:00:00 PM,64.652,,,,
414,04/03/20 05:00:00 PM,58.647,,,,
415,04/03/20 06:00:00 PM,53.449,,,,
416,04/03/20 07:00:00 PM,50.466,,,,
417,04/03/20 08:00:00 PM,47.624,,,,
418,04/03/20 09:00:00 PM,45.466,,,,
419,04/03/20 10:00:00 PM,44.379,,,,
420,04/03/20 11:00:00 PM,43.648,,,,
421,04/04/20 12:00:00 AM,42.915,,,,
422,04/04/20 01:00:00 AM,42.915,,,,
423,04/04/20 02:00:00 AM,42.548,,,,
424,04/04/20 03:00:00 AM,41.994,,,,
425,04/04/20 04:00:00 AM,41.625,,,,
426,04/04/20 05:00:00 AM,41.254,,,,
427,04/04/20 06:00:00 AM,41.067,,,,
428,04/04/20 07:00:00 AM,42.179,,,,
429,04/04/20 08:00:00 AM,44.560,,,,
430,04/04/20 09:00:00 AM,46.908,,,,
431,04/04/20 10:00:00 AM,49.759,,,,
432,04/04/20 11:00:00 AM,52.576,,,,
433,04/04/20 12:00:00 PM,53.623,,,,
434,04/04/20 01:00:00 PM,52.401,,,,
435,04/04/20 02:00:00 PM,52.925,,,,
436,04/04/20 02:16:33 PM,,0.73,,,
437,04/04/20 02:30:52 PM,,0.74,,,
