Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-10-26 06:04:41 -07:00,299.25,2019-10-26 06:15:18 -07:00,299.26,2019-10-26 07:14:16 -07:00,299.3,0:58:57,2000,1200.1,799.9,deployed,SCr,400,SCr-400
bac wcr,2019-10-27 06:04:51 -07:00,300.25,2019-10-27 06:15:30 -07:00,300.26,2019-10-27 07:11:23 -07:00,300.3,0:55:53,2000,1225.1,774.9,deployed,SCr,401,SCr-401
bac wcr,2019-10-28 06:04:51 -07:00,301.25,2019-10-28 06:15:29 -07:00,301.26,2019-10-28 07:04:29 -07:00,301.29,0:49:00,2000,1275.1,724.9,deployed,SCr,402,SCr-402
bac wcr,2019-10-29 06:04:56 -07:00,302.25,2019-10-29 06:15:36 -07:00,302.26,2019-10-29 07:11:46 -07:00,302.3,0:56:10,2000,1349.5,650.5,deployed,SCr,403,SCr-403
bac wcr,2019-10-30 06:04:50 -07:00,303.25,2019-10-30 06:15:28 -07:00,303.26,2019-10-30 07:20:25 -07:00,303.31,1:04:56,2000,1523.1,476.9,deployed,SCr,404,SCr-404
bac wcr,2019-10-31 06:04:44 -07:00,304.25,2019-10-31 06:15:21 -07:00,304.26,2019-10-31 07:21:47 -07:00,304.31,1:06:26,2000,1750.1,249.9,deployed,SCr,405,SCr-405
bac wcr,2019-11-01 06:04:44 -07:00,305.25,2019-11-01 06:15:25 -07:00,305.26,2019-11-01 07:18:09 -07:00,305.3,1:02:44,2000,1525.1,474.9,deployed,SCr,406,SCr-406
bac wcr,2019-11-02 06:04:51 -07:00,306.25,2019-11-02 06:15:31 -07:00,306.26,2019-11-02 07:23:23 -07:00,306.31,1:07:52,2000,1500.1,499.9,deployed,SCr,407,SCr-407
bac wcr,2019-11-03 05:54:43 -08:00,307.25,2019-11-03 06:05:22 -08:00,307.25,2019-11-03 07:14:50 -08:00,307.3,1:09:28,2000,1474.5,525.5,deployed,SCr,408,SCr-408
bac wcr,2019-11-04 05:44:44 -08:00,308.24,2019-11-04 05:55:33 -08:00,308.25,2019-11-04 07:00:32 -08:00,308.29,1:04:58,2000,1375.1,624.9,deployed,SCr,409,SCr-409
bac wcr,2019-11-05 05:24:43 -08:00,309.23,2019-11-05 05:35:22 -08:00,309.23,2019-11-05 06:39:43 -08:00,309.28,1:04:20,2000,1325.1,674.9,deployed,SCr,410,SCr-410
bac wcr,2019-11-06 06:04:43 -08:00,310.25,2019-11-06 06:15:23 -08:00,310.26,2019-11-06 07:19:59 -08:00,310.31,1:04:35,2000,1125.1,874.9,deployed,SCr,411,SCr-411
