Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-12-12 18:04:19 -08:00,346.75,2019-12-12 18:14:59 -08:00,346.76,2019-12-12 18:51:23 -08:00,346.79,0:36:23,2000,596.9,1403.1,deployed,SCr,484,SCr-484
bac wcr,2019-12-13 09:16:10 -08:00,347.39,2019-12-13 09:26:52 -08:00,347.39,2019-12-13 09:57:16 -08:00,347.41,0:30:24,2000,625,1375,deployed,SCr,485,SCr-485
bac wcr,2019-12-13 18:04:18 -08:00,347.75,2019-12-13 18:15:07 -08:00,347.76,2019-12-13 18:40:38 -08:00,347.78,0:25:30,2000,650,1350,deployed,SCr,486,SCr-486
bac wcr,2019-12-14 06:04:20 -08:00,348.25,2019-12-14 06:14:58 -08:00,348.26,2019-12-14 08:18:36 -08:00,348.35,2:03:38,2000,633.1,1366.9,deployed,SCr,487,SCr-487
bac wcr,2019-12-14 18:04:30 -08:00,348.75,2019-12-14 18:15:08 -08:00,348.76,2019-12-14 18:31:13 -08:00,348.77,0:16:05,2000,275,1725,deployed,SCr,488,SCr-488
bac wcr,2019-12-15 06:04:20 -08:00,349.25,2019-12-15 06:15:07 -08:00,349.26,2019-12-15 06:32:19 -08:00,349.27,0:17:11,2000,324.6,1675.4,deployed,SCr,489,SCr-489
bac wcr,2019-12-15 18:04:24 -08:00,349.75,2019-12-15 18:15:08 -08:00,349.76,2019-12-15 18:40:17 -08:00,349.78,0:25:09,2000,650,1350,deployed,SCr,490,SCr-490
bac wcr,2019-12-16 06:04:23 -08:00,350.25,2019-12-16 06:15:03 -08:00,350.26,2019-12-16 06:34:45 -08:00,350.27,0:19:42,2000,475,1525,deployed,SCr,491,SCr-491
bac wcr,2019-12-16 18:04:21 -08:00,350.75,2019-12-16 18:15:06 -08:00,350.76,2019-12-16 18:43:28 -08:00,350.78,0:28:21,2000,644.5,1355.5,deployed,SCr,492,SCr-492
bac wcr,2019-12-17 06:04:26 -08:00,351.25,2019-12-17 06:15:17 -08:00,351.26,2019-12-17 06:55:53 -08:00,351.29,0:40:35,2000,800,1200,deployed,SCr,493,SCr-493
bac wcr,2019-12-17 18:04:23 -08:00,351.75,2019-12-17 18:15:10 -08:00,351.76,2019-12-17 18:32:42 -08:00,351.77,0:17:31,2000,350,1650,deployed,SCr,494,SCr-494
bac wcr,2019-12-18 06:04:24 -08:00,352.25,2019-12-18 06:15:03 -08:00,352.26,2019-12-18 06:52:28 -08:00,352.29,0:37:24,2000,789.7,1210.3,deployed,SCr,495,SCr-495
bac wcr,2019-12-18 18:04:20 -08:00,352.75,2019-12-18 18:15:00 -08:00,352.76,2019-12-18 18:35:49 -08:00,352.77,0:20:49,2000,375,1625,deployed,SCr,496,SCr-496
bac wcr,2019-12-19 06:04:21 -08:00,353.25,2019-12-19 06:15:03 -08:00,353.26,2019-12-19 07:17:41 -08:00,353.3,1:02:38,2000,140,1860,deployed,SCr,497,SCr-497
bac wcr,2019-12-19 08:39:55 -08:00,353.36,2019-12-19 08:50:43 -08:00,353.37,2019-12-19 09:02:22 -08:00,353.38,0:11:38,2000,175,1825,deployed,SCr,498,SCr-498
bac wcr,2019-12-19 18:04:23 -08:00,353.75,2019-12-19 18:15:17 -08:00,353.76,2019-12-19 19:32:54 -08:00,353.81,1:17:36,2000,240.1,1759.9,deployed,SCr,499,SCr-499
bac wcr,2019-12-20 06:04:24 -08:00,354.25,2019-12-20 06:15:13 -08:00,354.26,2019-12-20 06:36:24 -08:00,354.28,0:21:11,2000,318.3,1681.7,deployed,SCr,500,SCr-500
bac wcr,2019-12-20 18:04:32 -08:00,354.75,2019-12-20 18:15:22 -08:00,354.76,2019-12-20 18:36:43 -08:00,354.78,0:21:21,2000,425,1575,deployed,SCr,501,SCr-501
bac wcr,2019-12-21 06:04:26 -08:00,355.25,2019-12-21 06:15:11 -08:00,355.26,2019-12-21 06:40:24 -08:00,355.28,0:25:12,2000,443.3,1556.7,deployed,SCr,502,SCr-502
bac wcr,2019-12-21 18:04:22 -08:00,355.75,2019-12-21 18:15:03 -08:00,355.76,2019-12-21 18:39:44 -08:00,355.78,0:24:40,2000,475,1525,deployed,SCr,503,SCr-503
bac wcr,2019-12-22 06:04:22 -08:00,356.25,2019-12-22 06:15:07 -08:00,356.26,2019-12-22 06:37:30 -08:00,356.28,0:22:22,2000,400,1600,deployed,SCr,504,SCr-504
bac wcr,2019-12-22 18:04:24 -08:00,356.75,2019-12-22 18:15:09 -08:00,356.76,2019-12-22 18:26:12 -08:00,356.77,0:11:03,2000,117.7,1882.3,deployed,SCr,505,SCr-505
bac wcr,2019-12-23 06:04:27 -08:00,357.25,2019-12-23 06:15:07 -08:00,357.26,2019-12-23 06:30:16 -08:00,357.27,0:15:09,2000,189.4,1810.6,deployed,SCr,506,SCr-506
bac wcr,2019-12-23 14:16:40 -08:00,357.59,2019-12-23 14:27:21 -08:00,357.6,2019-12-23 14:52:22 -08:00,357.62,0:25:00,2000,244.3,1755.7,deployed,SCr,507,SCr-507
