target,Ct,quantity
trout,19.45124435,1000000
trout,23.21383095,100000
trout,23.13091087,100000
trout,22.75699043,100000
trout,25.43056297,10000
trout,25.18293381,10000
trout,25.94836426,10000
trout,30.6577282,1000
trout,29.61033821,1000
trout,30.87378502,1000
trout,33.08876801,100
trout,33.51748657,100
trout,32.76751328,100
trout,Undetermined,10
trout,Undetermined,10
trout,Undetermined,10
trout,Undetermined,5
trout,Undetermined,5
trout,37.44689941,5
coho,20.12633514,1000000
coho,19.90740395,1000000
coho,19.88988686,1000000
coho,23.46793938,100000
coho,23.33550835,100000
coho,23.39196777,100000
coho,26.88759613,10000
coho,26.78289032,10000
coho,26.69521523,10000
coho,30.36575508,1000
coho,30.1371479,1000
coho,30.10176277,1000
coho,33.16810608,100
coho,33.63681412,100
coho,33.60903549,100
coho,37.38096237,10
coho,36.7880249,10
coho,37.30196762,10
coho,37.84319305,5
coho,38.22286606,5
coho,38.09084702,5
coho,20.1026001,1000000
coho,20.07420731,1000000
coho,19.99348068,1000000
coho,23.50444984,100000
coho,23.57111359,100000
coho,23.59448242,100000
coho,26.88622093,10000
coho,26.98131561,10000
coho,26.80046463,10000
coho,30.34474754,1000
coho,30.41609001,1000
coho,30.40411186,1000
coho,33.17531967,100
coho,33.95714951,100
coho,33.80383682,100
coho,38.3218689,10
coho,36.97103119,10
coho,37.96631241,10
coho,39.61278152,5
coho,38.69989014,5
coho,37.86371231,5
coho,20.09612846,1000000
coho,19.91148376,1000000
coho,19.8868351,1000000
coho,23.2494297,100000
coho,23.36707306,100000
coho,23.33926201,100000
coho,26.64668465,10000
coho,26.91036034,10000
coho,26.90479851,10000
coho,30.43167686,1000
coho,30.16529083,1000
coho,30.28269768,1000
coho,33.16345978,100
coho,34.20969772,100
coho,33.29043579,100
coho,36.7682991,10
coho,36.36631012,10
coho,38.1279335,10
coho,37.70773697,5
coho,38.3813591,5
coho,38.4396286,5
coho,20.22599983,1000000
coho,19.89933205,1000000
coho,19.82130814,1000000
coho,23.52164078,100000
coho,23.51382446,100000
coho,23.48834038,100000
coho,26.96242332,10000
coho,26.73730087,10000
coho,26.65177345,10000
coho,30.31461716,1000
coho,30.16817284,1000
coho,30.41134453,1000
coho,33.47261429,100
coho,33.939888,100
coho,33.5945015,100
coho,36.82102203,10
coho,38.20805359,10
coho,37.05501556,10
coho,38.50753021,5
coho,37.57307434,5
coho,Undetermined,5
trout,19.15569115,1000000
trout,19.11727905,1000000
trout,18.97607803,1000000
trout,22.39754868,100000
trout,22.41633606,100000
trout,22.48947525,100000
trout,25.97398567,10000
trout,25.83383751,10000
trout,25.77545547,10000
trout,29.97808075,1000
trout,29.76376343,1000
trout,30.19506073,1000
trout,32.44801331,100
trout,32.71682358,100
trout,32.8021965,100
trout,37.89154434,10
trout,38.39603806,10
trout,Undetermined,10
trout,Undetermined,5
trout,Undetermined,5
trout,38.02464676,5
trout,19.49077606,1000000
trout,18.91411209,1000000
trout,18.83213806,1000000
trout,,
trout,,
trout,,
trout,25.6705513,10000
trout,25.71006393,10000
trout,25.72737694,10000
trout,29.76374435,1000
trout,29.86671257,1000
trout,29.281147,1000
trout,33.16823959,100
trout,33.37690735,100
trout,32.17960739,100
trout,36.49447632,10
trout,36.40539551,10
trout,35.76745987,10
trout,Undetermined,5
trout,Undetermined,5
trout,39.4145546,5
trout,19.53567886,1000000
trout,19.03468513,1000000
trout,19.13170815,1000000
trout,22.1576767,100000
trout,22.17590141,100000
trout,22.19763374,100000
trout,25.30124855,10000
trout,25.45326424,10000
trout,25.78973007,10000
trout,29.98476028,1000
trout,29.9178009,1000
trout,29.60539436,1000
trout,33.46094131,100
trout,34.05094147,100
trout,32.92440414,100
trout,38.05556488,10
trout,36.24019241,10
trout,37.79314804,10
trout,36.83058929,5
trout,36.24917603,5
trout,37.19819641,5
coho,19.83278847,1000000
coho,19.87745285,1000000
coho,19.82380486,1000000
coho,23.18561745,100000
coho,23.25398254,100000
coho,23.39669228,100000
coho,29.98430443,10000
coho,30.02978516,10000
coho,30.0458107,10000
coho,26.71366501,1000
coho,26.59132957,1000
coho,26.78579521,1000
coho,39.13060379,100
coho,Undetermined,100
coho,Undetermined,100
coho,37.10522079,10
coho,36.2480278,10
coho,36.19118881,10
coho,33.51781082,5
coho,33.79945374,5
coho,33.66997147,5
coho,19.77122879,1000000
coho,19.82481956,1000000
coho,19.66823006,1000000
coho,23.14599228,100000
coho,23.33249283,100000
coho,23.294487,100000
coho,26.54338646,10000
coho,26.68703079,10000
coho,26.60058212,10000
coho,30.06679535,1000
coho,29.99535179,1000
coho,30.20477676,1000
coho,34.00972748,100
coho,33.46418762,100
coho,33.83750153,100
coho,39.88444901,10
coho,36.99403,10
coho,36.73773575,10
coho,Undetermined,5
coho,Undetermined,5
coho,Undetermined,5
trout,19.25367737,1000000
trout,19.0320797,1000000
trout,18.99122429,1000000
trout,22.32043648,100000
trout,22.36906624,100000
trout,22.49876022,100000
trout,25.8308754,10000
trout,25.56956291,10000
trout,25.52075386,10000
trout,28.35422516,1000
trout,28.41529083,1000
trout,28.57990646,1000
trout,34.78973007,100
trout,34.08968353,100
trout,33.90834808,100
trout,35.41791534,10
trout,38.5965271,10
trout,37.1962471,10
trout,Undetermined,5
trout,37.55089569,5
trout,Undetermined,5
trout,19.18801498,1000000
trout,19.33607292,1000000
trout,19.21937561,1000000
trout,22.07132149,100000
trout,22.95548058,100000
trout,22.85334206,100000
trout,25.37589264,10000
trout,25.80962753,10000
trout,25.21346283,10000
trout,29.24030685,1000
trout,29.06240082,1000
trout,29.62709808,1000
trout,33.24971771,100
trout,33.97458649,100
trout,34.85942841,100
trout,35.77173996,10
trout,Undetermined,10
trout,36.18315887,10
trout,Undetermined,5
trout,Undetermined,5
trout,Undetermined,5
coho,20.04147911,1000000
coho,20.0544796,1000000
coho,19.96442986,1000000
coho,23.55437088,100000
coho,23.63295746,100000
coho,23.55498886,100000
coho,27.17541122,10000
coho,27.42583466,10000
coho,27.29791641,10000
coho,31.37346649,1000
coho,31.2096405,1000
coho,31.39479446,1000
coho,35.14749908,100
coho,35.54838943,100
coho,35.58166122,100
coho,38.47142792,10
coho,Undetermined,10
coho,37.64757156,10
coho,Undetermined,5
coho,Undetermined,5
coho,Undetermined,5
coho,20.04055595,1000000
coho,20.09456444,1000000
coho,20.04205704,1000000
coho,23.66238594,100000
coho,23.63013077,100000
coho,23.72458839,100000
coho,27.32116318,10000
coho,27.45828247,10000
coho,27.33635902,10000
coho,31.15027618,1000
coho,31.68117905,1000
coho,31.30907249,1000
coho,35.4686203,100
coho,35.06620026,100
coho,34.88486862,100
coho,38.08179474,10
coho,38.44667816,10
coho,38.5424118,10
coho,Undetermined,5
coho,Undetermined,5
coho,Undetermined,5
trout,19.3680191,1000000
trout,19.28230476,1000000
trout,18.9698925,1000000
trout,22.89762115,100000
trout,22.67648697,100000
trout,22.67617798,100000
trout,26.58036804,10000
trout,26.68942833,10000
trout,26.4044323,10000
trout,30.3973465,1000
trout,30.18168449,1000
trout,30.1190052,1000
trout,34.07419205,100
trout,33.32793427,100
trout,33.33006668,100
trout,Undetermined,10
trout,39.25328827,10
trout,39.45161057,10
trout,Undetermined,5
trout,38.69076538,5
trout,Undetermined,5
trout,17.8744297,1000000
trout,17.81562042,1000000
trout,17.46854401,1000000
trout,20.82909012,100000
trout,21.19679451,100000
trout,21.31513596,100000
trout,24.53166199,10000
trout,24.44333839,10000
trout,24.676548,10000
trout,28.26410103,1000
trout,28.64751434,1000
trout,28.51529694,1000
trout,30.77116394,100
trout,31.52223778,100
trout,31.28004456,100
trout,Undetermined,10
trout,34.44475174,10
trout,Undetermined,10
trout,35.61655045,5
trout,Undetermined,5
trout,Undetermined,5
coho,19.88866806,1000000
coho,19.8636055,1000000
coho,19.68907928,1000000
coho,23.36671829,100000
coho,23.45895958,100000
coho,23.33159828,100000
coho,26.79561615,10000
coho,26.85679054,10000
coho,26.70048714,10000
coho,30.48777199,1000
coho,30.35730553,1000
coho,30.29481316,1000
coho,33.4908638,100
coho,33.40624237,100
coho,33.52838516,100
coho,38.06848145,10
coho,39.16283035,10
coho,38.36518478,10
coho,Undetermined,5
coho,38.42201614,5
coho,Undetermined,5
trout,19.50238419,1000000
trout,19.29305267,1000000
trout,19.08612633,1000000
trout,22.64554405,100000
trout,22.65882683,100000
trout,22.67490387,100000
trout,26.40436935,10000
trout,26.32958794,10000
trout,26.1499691,10000
trout,30.46882439,1000
trout,29.85297394,1000
trout,30.05445671,1000
trout,33.42740631,100
trout,33.29220963,100
trout,33.42829514,100
trout,Undetermined,10
trout,Undetermined,10
trout,38.65001678,10
trout,37.74858475,5
trout,37.58239365,5
trout,37.79039001,5
coho,19.91915131,1000000
coho,19.88806343,1000000
coho,19.75382423,1000000
coho,23.27497101,100000
coho,23.19195938,100000
coho,23.23534775,100000
coho,26.71624947,10000
coho,26.78067589,10000
coho,26.69839287,10000
coho,30.04918289,1000
coho,30.1646347,1000
coho,30.20425415,1000
coho,33.30260849,100
coho,33.63670349,100
coho,33.40286636,100
coho,38.41397095,10
coho,36.72471237,10
coho,36.6947937,10
coho,38.43025589,5
coho,39.30001831,5
coho,36.97916794,5
coho,19.92802811,1000000
coho,19.79993057,1000000
coho,19.69155121,1000000
coho,23.12166023,100000
coho,23.25418854,100000
coho,23.22750282,100000
coho,26.60511208,10000
coho,26.65236092,10000
coho,26.6135273,10000
coho,30.09682465,1000
coho,30.06584167,1000
coho,30.09843445,1000
coho,33.48369598,100
coho,33.74729156,100
coho,33.42881393,100
coho,36.41807556,10
coho,37.41756821,10
coho,36.52720642,10
