Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201123_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-23 12:54:15 PM PST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,OUTLIERRG,EXPFAIL
G4,SCr-074,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.68559074,31.76187134,0.414395124,152.5918427,148.6651459,37.86656952,FALSE,0.1,TRUE,3,28,,N,N,N,N,N
G5,SCr-074,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.20910645,31.76187134,0.414395124,108.9882202,148.6651459,37.86656952,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
G6,SCr-074,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.39091492,31.76187134,0.414395124,184.4153442,148.6651459,37.86656952,FALSE,0.1,TRUE,3,27,,N,N,N,N,N
G7,SCr-074-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.67433929,33.81605911,0.12405581,42.49375916,38.87707901,3.161587954,FALSE,0.1,TRUE,3,30,,N,N,N,N,N
G8,SCr-074-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.86885071,33.81605911,0.12405581,37.49925995,38.87707901,3.161587954,FALSE,0.1,TRUE,3,30,,N,N,N,N,N
G9,SCr-074-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.90498734,33.81605911,0.12405581,36.63821411,38.87707901,3.161587954,FALSE,0.1,TRUE,3,30,,N,N,N,N,N
G10,SCr-244,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.92357254,30.84571838,0.241721347,249.0386353,263.978302,42.23693466,FALSE,0.1,TRUE,3,26,,N,N,N,N,N
G11,SCr-244,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.57466125,30.84571838,0.241721347,311.6546326,263.978302,42.23693466,FALSE,0.1,TRUE,3,26,,N,N,N,N,N
G12,SCr-244,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.03891563,30.84571838,0.241721347,231.2416077,263.978302,42.23693466,FALSE,0.1,TRUE,3,27,,N,N,N,N,N
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
H4,SCr-077,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.59400177,33.77217484,0.311227143,44.74590302,40.41716385,7.573052406,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
H5,SCr-077,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.59098053,33.77217484,0.311227143,44.83288956,40.41716385,7.573052406,FALSE,0.1,TRUE,3,30,,N,N,N,N,N
H6,SCr-077,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.13154602,33.77217484,0.311227143,31.67270088,40.41716385,7.573052406,FALSE,0.1,TRUE,3,31,,N,N,N,Y,N
H7,SCr-077-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.33478165,35.71294785,0.518693149,14.61414528,11.86463165,3.565153599,FALSE,0.1,TRUE,3,32,,Y,N,N,N,N
H8,SCr-077-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.30425644,35.71294785,0.518693149,7.836490154,11.86463165,3.565153599,FALSE,0.1,TRUE,3,33,,Y,N,N,N,N
H9,SCr-077-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.49980545,35.71294785,0.518693149,13.14326,11.86463165,3.565153599,FALSE,0.1,TRUE,3,31,,Y,N,N,N,N
H10,SCr-244-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.33685493,31.36000633,0.900167227,363.1305847,211.7778778,131.8032379,FALSE,0.1,TRUE,3,27,,Y,N,Y,N,N
H11,SCr-244-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.71291733,31.36000633,0.900167227,149.9348145,211.7778778,131.8032379,FALSE,0.1,TRUE,3,27,,Y,N,N,N,N
H12,SCr-244-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.03024292,31.36000633,0.900167227,122.2682037,211.7778778,131.8032379,FALSE,0.1,TRUE,3,28,,Y,N,N,N,N
