Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201019_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-19 14:04:26 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG,EXPFAIL
G9,SCr-168-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.24390793,33.19877625,0.108639561,256.4996643,263.348053,16.16249084,FALSE,0.1,TRUE,3,29,,N,N,N
G10,SCr-173,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.62484741,31.77727509,0.164213628,631.6082764,581.8408813,52.65538406,FALSE,0.1,TRUE,3,27,,N,N,N
G11,SCr-173,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.7558136,31.77727509,0.164213628,587.2060547,581.8408813,52.65538406,FALSE,0.1,TRUE,3,29,,N,N,N
G12,SCr-173,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.95116425,31.77727509,0.164213628,526.708313,581.8408813,52.65538406,FALSE,0.1,TRUE,3,28,,N,N,N
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H4,SCr-169,O.mykiss,UNKNOWN,FAM,NFQ-MGB,39.04613495,39.30633545,0.367981762,10.1523447,8.875822067,1.805275679,FALSE,0.1,TRUE,3,34,,N,N,Y
H5,SCr-169,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.30633545,0.367981762,,,,FALSE,0.1,TRUE,3,34,,N,N,N
H6,SCr-169,O.mykiss,UNKNOWN,FAM,NFQ-MGB,39.56653976,39.30633545,0.367981762,7.599299431,8.875822067,1.805275679,FALSE,0.1,TRUE,3,34,,N,N,N
H7,SCr-169-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.27255249,34.2861824,0.012758357,144.6910706,143.6000824,1.020522356,FALSE,0.1,TRUE,3,30,,N,N,N
H8,SCr-169-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.29784012,34.2861824,0.012758357,142.668869,143.6000824,1.020522356,FALSE,0.1,TRUE,3,31,,N,N,N
H9,SCr-169-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.28815079,34.2861824,0.012758357,143.4403381,143.6000824,1.020522356,FALSE,0.1,TRUE,3,31,,N,N,N
H10,SCr-173-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.00785828,33.62309647,0.33377102,167.6578522,210.0079956,36.7603035,FALSE,0.1,TRUE,3,31,,N,N,N
H11,SCr-173-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.45001984,33.62309647,0.33377102,228.6994934,210.0079956,36.7603035,FALSE,0.1,TRUE,3,31,,N,N,N
H12,SCr-173-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.4114151,33.62309647,0.33377102,233.6666718,210.0079956,36.7603035,FALSE,0.1,TRUE,3,30,,N,N,N
