Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201015_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-15 11:28:16 AM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP,OUTLIERRG,EXPFAIL
F12,SCr-211-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.31669998,31.78278351,0.480520368,148.4894714,213.9197845,60.17432404,FALSE,0.1,TRUE,3,29,,N,N,N
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,36.88243866,0.1984341,5,,,FALSE,0.1,TRUE,3,39,,N,N,Y
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.74212646,36.88243866,0.1984341,5,,,FALSE,0.1,TRUE,3,34,,N,N,N
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.02275467,36.88243866,0.1984341,5,,,FALSE,0.1,TRUE,3,34,,N,N,N
G4,SCr-207,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.37652397,29.34524345,0.108346798,944.6825562,964.9719238,66.64173126,FALSE,0.1,TRUE,3,27,,N,N,N
G5,SCr-207,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.22469521,29.34524345,0.108346798,1039.400146,964.9719238,66.64173126,FALSE,0.1,TRUE,3,27,,N,N,N
G6,SCr-207,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.43450546,29.34524345,0.108346798,910.8330078,964.9719238,66.64173126,FALSE,0.1,TRUE,3,26,,N,N,N
G7,SCr-207-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.11542702,31.19565392,0.099750742,316.2422791,301.0633545,18.63624382,FALSE,0.1,TRUE,3,27,,N,N,N
G8,SCr-207-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.30734253,31.19565392,0.099750742,280.2636719,301.0633545,18.63624382,FALSE,0.1,TRUE,3,28,,N,N,N
G9,SCr-207-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.16419411,31.19565392,0.099750742,306.684082,301.0633545,18.63624382,FALSE,0.1,TRUE,3,28,,N,N,N
G10,SCr-212,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.07680893,30.15555,0.215036526,607.9788208,582.0466309,76.03188324,FALSE,0.1,TRUE,3,26,,N,N,N
