Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201021_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG,EXPFAIL
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.05482101,35.49614716,0.624132097,10,,,FALSE,0.1,TRUE,3,31,,Y,N,N
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,35.49614716,0.624132097,10,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.93747711,35.49614716,0.624132097,10,,,FALSE,0.1,TRUE,3,32,,Y,N,N
F4,SCr-361,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.31064796,31.45098686,0.34828645,238.2588654,220.5048981,48.62134171,FALSE,0.1,TRUE,3,27,,N,N,N
F5,SCr-361,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.84754753,31.45098686,0.34828645,165.5016479,220.5048981,48.62134171,FALSE,0.1,TRUE,3,30,,N,N,N
F6,SCr-361,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.19476128,31.45098686,0.34828645,257.7541809,220.5048981,48.62134171,FALSE,0.1,TRUE,3,27,,N,N,N
F7,SCr-361-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.23872375,33.48613358,0.45089215,64.38200378,56.04231262,15.43287754,FALSE,0.1,TRUE,3,30,,N,N,N
F8,SCr-361-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.00656891,33.48613358,0.45089215,38.23388672,56.04231262,15.43287754,FALSE,0.1,TRUE,3,30,,N,N,N
F9,SCr-361-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.21310806,33.48613358,0.45089215,65.51104736,56.04231262,15.43287754,FALSE,0.1,TRUE,3,29,,N,N,N
F10,SCr-366-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.26412582,34.26385498,0.32799539,32.1022644,32.64070511,7.222171307,FALSE,0.1,TRUE,3,30,,N,N,N
F11,SCr-366-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.59171677,34.26385498,0.32799539,25.70282745,32.64070511,7.222171307,FALSE,0.1,TRUE,3,29,,N,N,N
F12,SCr-366-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.93572617,34.26385498,0.32799539,40.1170311,32.64070511,7.222171307,FALSE,0.1,TRUE,3,30,,N,N,N
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,38.63347626,37.04964447,2.239876509,5,,,FALSE,0.1,TRUE,3,35,,Y,N,N
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,37.04964447,2.239876509,5,,,FALSE,0.1,TRUE,3,39,,N,N,Y
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.46581268,37.04964447,2.239876509,5,,,FALSE,0.1,TRUE,3,31,,Y,N,N
G4,SCr-362,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.61091995,34.68004227,0.104329295,25.37002754,24.24727058,1.681600571,FALSE,0.1,TRUE,3,31,,N,N,N
G5,SCr-362,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.80005264,34.68004227,0.104329295,22.31390762,24.24727058,1.681600571,FALSE,0.1,TRUE,3,32,,N,N,N
G6,SCr-362,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.62916183,34.68004227,0.104329295,25.05787849,24.24727058,1.681600571,FALSE,0.1,TRUE,3,30,,N,N,N
G7,SCr-362-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.41052246,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
G8,SCr-362-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.41052246,38.41052246,,1.924948931,1.924948931,,FALSE,0.1,TRUE,3,33,,N,N,N
G9,SCr-362-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.41052246,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
G10,SCr-367,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.60059929,31.58106995,0.175827846,195.6988525,199.2583618,23.96581078,FALSE,0.1,TRUE,3,28,,N,N,N
G11,SCr-367,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.39629364,31.58106995,0.175827846,224.8048553,199.2583618,23.96581078,FALSE,0.1,TRUE,3,28,,N,N,N
